name,auditID,qualityType,auditDate,auditEnd,Date,Audit Standard,Address,SAM,Available in MI/SI?,Final QCR,Calculation completed,Date of Calculation,Missing Data,Minor - Observations,Major - Observations,Critical - Observations,Observations rating,Avg Rating Quality Documentation,Avg Rating Quality Monitoring,Avg Rat Facilities and Operations,Compliance Score,capaAdequacy,CAPA baseline,actionPlanSent,Initial NEW,Days,CAPA score,Observations DATA available,Rating DATA available,CAPA DATA available,Award,Award,Request to increase Score
Denk Pharma zyra përfaqësuese,recqyyFHYVoifuZjD,GVP_COVIGILANCE,08/02/2023,,08/02/2023,,"Kompleksi Rezidencial Magnet, Struktura EA, RR, Ndre Mjeda, 
Tirane, 
Albania",Ania Jaworska,Yes,Missing/wrong Data,FALSE,,TRUE,4,0,0,81.5,50,Check,Check,#VALUE!,NoAdequacy,Missing adequacy,27.04.2023,24.07.2023,74,Missing/Wrong CAPA data,TRUE,FALSE,FALSE,Not calculated,FALSE,FALSE
"Seishin Enterprise Co., Ltd",recXc74a6s4RW1YB1,OTHER,08/02/2023,,08/02/2023,,"Ube Techno Park, 700-3 Aza Kabutoishi, Yamanaka, Ube-shi, 
759-0132, Yamaguchi, 
Japan",Chieh Huang,Yes,Missing/wrong Data,FALSE,,TRUE,1,0,0,95.0,60,67,67,65.25,NoAdequacy,Missing adequacy,21.02.2023,Data missing,Error in calculation,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,TRUE,FALSE
Niacet b.v.,rec1cWUcTLqRkEcBn,GMP_API,08/02/2023,,08/02/2023,,"Papesteeg 91, 
4006 WC, Tiel, 
Netherlands",Anne Germer,Yes,88.45,TRUE,,FALSE,0,0,0,100.0,67,67,67,67.00,No CAPA needed,No CAPA needed,22.02.2023,08.06.2023,No CAPA needed,Not needed,TRUE,TRUE,TRUE,Platinum,TRUE,FALSE
Sicor Srl (TEVA),recIzuvihk6hRfPIl,GMP_API,08/02/2023,,08/02/2023,,"Società Italiana Corticosteroidi S.r.l. Strada Statale 235, km 16.600, 
27019, Villanterio, 
Pavia, 
Italy",Ania Jaworska,Yes,77.72,TRUE,,FALSE,3,0,0,85.7,67,67,67,67.00,Good,85,17.02.2023,29.03.2023,26,74.61,TRUE,TRUE,TRUE,Gold,TRUE,FALSE
Qemetica Soda Deutschland GmbH & Co. KG (formerly CIECH),rec5ZRL37Vautlzmj,GMP_EXCIPIENTS,08/02/2023,,08/02/2023,,"An d. Löderburger Bahn 4A, 
39418, Stassfurt, 
Germany",Nicolina Guasch,Yes,Missing/wrong Data,FALSE,,TRUE,5,3,0,47.5,50,54,Check,#VALUE!,NoAdequacy,Missing adequacy,22.03.2023,10.08.2023,127,Missing/Wrong CAPA data,TRUE,FALSE,FALSE,Not calculated,FALSE,FALSE
COPRIMA S.L. (Moehs Group),recR2qVQnR94zALLA,GMP_API,08/02/2023,,08/02/2023,,"Pablo Picasso 15, 
8213, Polinyà, 
Barcelona, 
Spain",Gonzalo Regal,Yes,Missing/wrong Data,FALSE,,TRUE,3,1,0,72.9,67,67,60,64.20,NoAdequacy,Missing adequacy,19.05.2023,23.06.2023,21,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,TRUE,FALSE
Logista Pharma S.A.,recuSFjJ1QCe3rX3l,GDP_DISTRIBUTION,08/02/2023,,08/02/2023,,"Nave A: Calle Trigo 39, Pol. Ind. Polvoranca, 
28914, Leganés, 
Madrid, 
Spain",Gonzalo Regal,Yes,Missing/wrong Data,FALSE,,TRUE,1,0,0,95.0,67,67,100,80.20,NoAdequacy,Missing adequacy,24.02.2023,Data missing,Error in calculation,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,TRUE,FALSE
Eurofins BioPharma Product Testing Switzerland AG,recSoQ3jUG8T0DxSy,GMP_LABORATORY,09/02/2023,,09/02/2023,,"Parkstrasse 10, 
5012, Schönenwerd, 
Switzerland",Anne Germer,Yes,Missing/wrong Data,FALSE,,TRUE,6,0,0,73.5,55,6,Check,#VALUE!,NoAdequacy,Missing adequacy,28.02.2023,29.03.2023,15,Missing/Wrong CAPA data,TRUE,FALSE,FALSE,Not calculated,TRUE,FALSE
"Galbraith Laboratories, Inc",recHSRZB1MsCv4GRm,GMP_LABORATORY,09/02/2023,,09/02/2023,,"2323 Sycamore Drive, 
TN 37921, Knoxville, 
United States",Anne Germer,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,NoAdequacy,Missing adequacy,21.02.2023,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,TRUE,FALSE
Kopran Research Laboratories Ltd,recvUfNIOLp78gnPd,GMP_API,09/02/2023,,09/02/2023,,"At & Post Birwadi, K-4/4, Additional M.I.D.C, District Raigad, 
402302, Mahad, 
Maharashtra, 
India",Victoria,Yes,Missing/wrong Data,FALSE,,TRUE,5,2,0,55.9,67,67,60,64.20,NoAdequacy,Missing adequacy,03.03.2023,Data missing,Error in calculation,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,TRUE,FALSE
Changzhou Pharmaceutical Factory Co Ltd,recRzEWxwMLtw49la,GMP_API,09/02/2023,,09/02/2023,,"No. 518 Laodong East Road, 
213 018, Changzhou, 
Jiangsu, 
China",Chieh Huang,Yes,65.22,TRUE,,FALSE,2,1,0,76.7,59,67,60,62.20,Acceptable,55,27.02.2023,30.03.2023,17,50.51,TRUE,TRUE,TRUE,Silver,TRUE,FALSE
Melbourn Scientific Ltd (trading as Intertek Melbourn),rec4iERdZqTUdyHtr,GMP_LABORATORY,09/02/2023,,09/02/2023,,"Unit 4, Anglian Business Park, Orchard Road, Royston, 
SG8 5TW, Melbourn, 
Hertfordshire, 
United Kingdom",Laura Lopez,Yes,Missing/wrong Data,FALSE,,TRUE,1,1,0,80.8,50,67,Check,#VALUE!,NoAdequacy,Missing adequacy,02.03.2023,02.06.2023,78,Missing/Wrong CAPA data,TRUE,FALSE,FALSE,Not calculated,FALSE,FALSE
Kasyap Sweetners Limited,rec6fIgHWhS2RFIGK,GMP_EXCIPIENTS,09/02/2023,,09/02/2023,,"PLOT NO. 20 C PHASE I GIDC, 
396195, Vapi, 
DIST. VALSAD GUJARAT, 
India",Victoria,No,26.54,TRUE,,FALSE,4,6,0,30.7,33,60,53,50.45,Poor,15,24.02.2023,04.04.2025,756,0.34,TRUE,TRUE,TRUE,No award,FALSE,FALSE
Sichuan Long March Pharmaceutical Co. Ltd.,recQDc3JgcLfSfiuB,GMP_API,09/02/2023,,09/02/2023,,"448 ChangQing Road, 
614000, Leshan, 
Sichuan, 
China",Chieh Huang,Yes,Missing/wrong Data,FALSE,,TRUE,4,0,0,81.5,67,54,67,62.45,NoAdequacy,Missing adequacy,20.02.2023,Data missing,Error in calculation,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,TRUE,FALSE
Cadila Pharmaceutical ltd,recGpbAvJx7Z6rfI6,GMP_API,10/02/2023,,10/02/2023,,"Plot. No. 294, 
393002, Ankleshwar, Gujarat, 
GIDC Industrial Estate, 
India",Ania Jaworska,Yes,Missing/wrong Data,FALSE,,TRUE,4,0,0,81.5,59,60,54,57.35,NoAdequacy,Missing adequacy,01.03.2023,10.05.2023,56,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,TRUE,FALSE
"Huzhou Zhanwang Pharmaceutical Co., Ltd.",recbSCIWoFaacj20c,GMP_API,10/02/2023,,10/02/2023,,"West Development Area Rd, Linghu Town, 
Huzhou City, 
Zhejiang Province, 
China",Chieh Huang,Yes,Missing/wrong Data,FALSE,,TRUE,1,3,0,58.3,59,54,60,57.65,NoAdequacy,Missing adequacy,16.02.2023,Data missing,Error in calculation,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,TRUE,FALSE
Divi's Laboratories Limited (Unit 1),recw5klZTkh6ErvAu,GMP_API,10/02/2023,,10/02/2023,EUGMP Part II / ICH Q7,"Choutuppal Mandal, Yadadri Bhuvanagiri District, 
508252, Lingojigudem Village, 
Telangana, 
India",Gonzalo Regal,Yes,88.45,TRUE,,FALSE,0,0,0,100.0,67,67,67,67.00,No CAPA needed,No CAPA needed,20.02.2023,Data missing,No CAPA needed,Not needed,TRUE,TRUE,TRUE,Platinum,TRUE,FALSE
Celogen Generics Pvt Limited,rec5b9KuVqyEv8vLc,GMP_FDF,13/02/2023,14/02/2023,13/02/2023 - 14/02/2023,,"646/1 (3) & 646/2 (2), Agarwal Ind. Estate, Somnath Temple Road, 
Dabhel Daman, 
India",Laura Lopez,Yes,Missing/wrong Data,FALSE,,TRUE,5,0,0,77.4,67,67,80,72.20,NoAdequacy,Missing adequacy,15.03.2023,14.04.2023,16,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
Orion Oyj - Kuopio site,recf0gKCNZDadYkBk,GMP_FDF,14/02/2023,15/02/2023,14/02/2023 - 15/02/2023,,"Volttikatu 8, 
FI-70700, Kuopio, 
Finland",Victoria,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Acceptable,55,24.02.2023,01.06.2023,83,36.28,FALSE,FALSE,TRUE,Not calculated,TRUE,FALSE
"Northeast Pharmaceutical Group Co., Ltd",recQRoJv4VMpYtlZP,GMP_API,14/02/2023,15/02/2023,14/02/2023 - 15/02/2023,,"No.29 Shenxiliu Dong Road, Economic Technology Development District, 
110869, Shenyang, 
Liaoning, 
China",Chieh Huang,Yes,Missing/wrong Data,FALSE,,TRUE,2,1,0,76.7,67,67,60,64.20,NoAdequacy,Missing adequacy,28.02.2023,Data missing,Error in calculation,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,TRUE,FALSE
Pharmathen SA (Rodopi Site),reck3DMadg8oJYto0,GMP_FDF,14/02/2023,,14/02/2023,,"Industrial Park Sapes, Rodopi Prefecture, Block no 5, 
69300, Rodopi, 
Greece",Gonzalo Regal,Yes,Missing/wrong Data,FALSE,,TRUE,4,3,0,50.0,59,60,47,54.55,NoAdequacy,Missing adequacy,31.03.2023,30.05.2023,46,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,TRUE,FALSE
Gerresheimer Queretaro S.A,rec8DzK9UsNiPival,GMP_PACKAGING,14/02/2023,,14/02/2023,,"Coahuila 9, Zona Ind. Benito Juárez, 
76120, Querétaro, 
Mexico",Gonzalo Regal,Yes,Missing/wrong Data,FALSE,,TRUE,3,0,0,85.7,59,67,67,65.00,NoAdequacy,Missing adequacy,14.03.2023,03.04.2023,6,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,TRUE,FALSE
Sun Pharmaceutical Industries (Australia) PTY LTD,recWP7pFNWNOVyJBV,GMP_API,14/02/2023,,14/02/2023,,"Princes Highway, 
3284, Port Fairy, 
Victoria, 
Australia",Gonzalo Regal,Yes,Missing/wrong Data,FALSE,,TRUE,1,0,0,95.0,59,67,67,65.00,NoAdequacy,Missing adequacy,01.03.2023,12.04.2023,28,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,TRUE,FALSE
Aceto GmbH,recP4lZhmgDws40p6,GDP_DISTRIBUTION,14/02/2023,,14/02/2023,,"Hansaalle 159, 40549 Düsseldorf, 
40549, Düsseldorf, 
Germany",Nicolina Guasch,Yes,Missing/wrong Data,FALSE,,TRUE,1,0,0,95.0,67,50,67,61.05,NoAdequacy,Missing adequacy,20.03.2023,28.03.2023,0,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,TRUE,FALSE
Encube Ethical Pvt. Ltd.,recr19GK5YU9AXwOx,GMP_FDF,15/02/2023,16/02/2023,15/02/2023 - 16/02/2023,,"C-1, Madkaim Industrial Estate, Madkaim, 
403 404, Mardol, Ponda, 
Goa, 
India",Gonzalo Regal,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,NoAdequacy,Missing adequacy,16.03.2023,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
AIR PRODUCTS S.A.,recyFqNDoeBhQyYJu,ISO_9001,15/02/2023,,15/02/2023,,"Zoning industriel de Keumiée rue de la Spinette 37, 
B 5140, Sombreffe, 
Belgium",Victoria,Yes,Missing/wrong Data,FALSE,,TRUE,4,1,0,69.2,42,34,Check,#VALUE!,NoAdequacy,Missing adequacy,06.03.2023,19.04.2023,30,Missing/Wrong CAPA data,TRUE,FALSE,FALSE,Not calculated,TRUE,FALSE
STERIS Applied Sterilization Technologies Inc.,recmCHSjXDWDieMTF,GMP_MED_DEV,15/02/2023,,15/02/2023,ISO 13485:2016 Medical devices — Quality management systems — Requirements for regulatory purposes,"9 Apollo Dr, Whippany, 
NJ 07981, Whippany, 
United States",Victoria Holmberg,Yes,95.12,TRUE,,FALSE,0,0,0,100.0,92,75,92,86.05,No CAPA needed,No CAPA needed,07.03.2023,Data missing,No CAPA needed,Not needed,TRUE,TRUE,TRUE,Platinum,TRUE,FALSE
"Polymer Chemistry Innovations, Inc.",recXL1uMWhBS4rJWJ,GMP_STARTING_MATERIALS,15/02/2023,,15/02/2023,,"7302 County Road 171, 
TX 77511, Alvin, 
Texas, 
United States",Anne Germer,Yes,Missing/wrong Data,FALSE,,TRUE,7,4,0,36.5,9,21,21,18.00,NoAdequacy,Missing adequacy,27.02.2023,Data missing,Error in calculation,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
Phaex Polymers PVT. LTD,recTowIpZPe6eybot,GMP_API,15/02/2023,,15/02/2023,,"Plot No. F10, 
421 401, Maharashtra, 
M.l.D.C., Murbad, Dist Thane, 
India",Omar Taha,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,NoAdequacy,Missing adequacy,03.03.2023,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,TRUE,FALSE
Pharmacelsus GmbH,recOEMeklQO7ODI2r,GLP_LABORATORY,16/02/2023,,16/02/2023,"GLP Category 8: Analytical & clinical chemistry testing 
GLP Category 9: Other Studies (Pharmacodynamic, Pharmacokinetic, & material testing) 
GLP/ GCLP-related guidelines & requirements
Study protocol for the assays in scope (bioanalytical methods)
ICH-guidelines: safety topics, especially S3A-S3B, S9
For non-GLP: generally recognized standards of lab work and documentatio
","Science Park, 2, 
66123, Saarbrücken, 
Germany",Anne Germer,Yes,92.37,TRUE,,FALSE,0,0,0,100.0,59,67,100,78.20,No CAPA needed,No CAPA needed,28.04.2023,Data missing,No CAPA needed,Not needed,TRUE,TRUE,TRUE,Platinum,TRUE,FALSE
Tradebe Healthcare Wrexham,recgj5HKtAsP3pvN7,ISO_9001,16/02/2023,,16/02/2023,,"Wrexham Clinical Waste Incinerator, Marlborough Road, Wrexham Industrial Estate, Clwyd, 
LL13 9RJ, Wrexham, Wales, 
United Kingdom",Ania Jaworska,Yes,Missing/wrong Data,FALSE,,TRUE,6,0,0,73.5,34,56,34,41.70,NoAdequacy,Missing adequacy,17.03.2023,09.05.2023,39,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,TRUE,FALSE
Unichem Laboratories Ltd. - Pithampur,recXS957jDFQsuyCe,GMP_API,16/02/2023,,16/02/2023,,"Plot No 197, Sector 1, 
454775, Pithampur, 
India",Ania Jaworska,Yes,Missing/wrong Data,FALSE,,TRUE,6,0,0,73.5,59,54,54,55.25,NoAdequacy,Missing adequacy,28.02.2023,03.08.2023,142,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,TRUE,FALSE
Orion Oyj - Salo site,recUmWgokjLeMVw39,GMP_FDF,16/02/2023,,16/02/2023,,"Joensuunkatu 7, 
24100, Salo, 
Finland",Victoria,Yes,Missing/wrong Data,FALSE,,TRUE,1,2,0,68.6,50,67,59,59.55,NoAdequacy,Missing adequacy,08.03.2023,Data missing,Error in calculation,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,TRUE,FALSE
Polycine GmbH,recJUMQ5hVIUsOe7T,GMP_PACKAGING,16/02/2023,,16/02/2023,,"Gewerbepack Klinkenthal 33, 
66578, Schiffweiler, 
Germany",Anne Germer,Yes,Missing/wrong Data,FALSE,,TRUE,3,0,0,85.7,67,67,67,67.00,NoAdequacy,Missing adequacy,16.03.2023,24.03.2023,0,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,TRUE,FALSE
JOMA kunststofftechnik GmbH,rec1js4MEqZekvFBh,GMP_PACKAGING,16/02/2023,,16/02/2023,,"Wolfhollzgasse 14-16, 
2345, Brunn am Gebirge, 
Austria",Anne Germer,Yes,Missing/wrong Data,FALSE,,TRUE,2,2,0,65.2,50,67,67,62.75,NoAdequacy,Missing adequacy,31.03.2023,02.05.2023,18,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
Netpharmalab Consulting Services S.L.,recbIVMIuXjmHk0Fc,GMP_LABORATORY,16/02/2023,,16/02/2023,,"Carretera de Fuencarral 22, 
28108, Alcobendas, 
Madrid, 
Spain",Gonzalo Regal,Yes,Missing/wrong Data,FALSE,,TRUE,0,0,0,100.0,70,0,Check,#VALUE!,No CAPA needed,No CAPA needed,06.03.2023,Data missing,No CAPA needed,Not needed,TRUE,FALSE,TRUE,Not calculated,TRUE,FALSE
Indoco Remedies Ltd. (API Plant),recYP4PmWNyNr0HXc,GMP_API,16/02/2023,,16/02/2023,,"A 26, A27, A 28/1, A28-2, Village Kaire, MIDC Industrial Area Patalganga, Raigad district, 
410220, Khalapur, 
Mahrashtra, 
India",Victoria,Yes,Missing/wrong Data,FALSE,,TRUE,3,3,0,52.7,42,60,54,53.10,NoAdequacy,Missing adequacy,24.02.2023,14.03.2023,4,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,TRUE,FALSE
Polar Special Amsterdam B.V.,recHNM15aXKzZPegZ,GDP_DISTRIBUTION,16/02/2023,,16/02/2023,,"Pampuslaan 186, 
1382 JS, Weesp, 
Netherlands",Victoria,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,NoAdequacy,Missing adequacy,09.03.2023,21.03.2023,0,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,TRUE,FALSE
Klocke Verpackungs-Service GmbH,recTBawpeyPZsiIws,GMP_FDF,16/02/2023,,16/02/2023,,"Max-Becker-Str. 6, 
76356, Weingarten, 
Germany",Nicolina Guasch,Yes,78.90,TRUE,,FALSE,4,0,0,81.5,67,67,67,67.00,Good,85,03.03.2023,13.03.2023,0,85.00,TRUE,TRUE,TRUE,Gold,TRUE,FALSE
"Changzhou Kony Pharmaceutical Co, Ltd",recoa5ErkfK7rgRD3,GMP_API,16/02/2023,,16/02/2023,,"Daixi Street, Luoyang Town, Wujin District, 
213105, Changzhou, 
Jiangsu Province, 
China",Chieh Huang,Yes,Missing/wrong Data,FALSE,,TRUE,1,0,0,95.0,67,67,60,64.20,NoAdequacy,Missing adequacy,07.03.2023,Data missing,Error in calculation,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,TRUE,FALSE
"Golden Time Chemical (Jiangsu) Co., Ltd.",recCFmX6w4li3PZ14,GMP_EXCIPIENTS,16/02/2023,,16/02/2023,,"90-168 Fangshui Rd., Nanjing Chemical Industrial Park, 
210047, Nanjing, 
Jiangsu, 
China",Chieh Huang,Yes,Missing/wrong Data,FALSE,,TRUE,2,9,0,20.9,18,41,Check,#VALUE!,NoAdequacy,Missing adequacy,08.03.2023,Data missing,Error in calculation,Missing/Wrong CAPA data,TRUE,FALSE,FALSE,Not calculated,FALSE,FALSE
Pharmathen SA - Pallini Attica,rec5M9nH8KCs7957y,GMP_FDF,17/02/2023,,17/02/2023,,"Dervenakion 6, 
15351, Pallini Attikis, 
Greece",Gonzalo Regal,Yes,Missing/wrong Data,FALSE,,TRUE,5,4,0,40.4,67,60,47,56.55,NoAdequacy,Missing adequacy,04.04.2023,15.09.2023,150,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
Alkem Laboratories Limited,reci3t1mhQr6LBr0w,GMP_API,17/02/2023,,17/02/2023,,"Plot No.: 288/A, 289-290, GIDC Industrial Estate Dist. Bharuch, Gujarat, 
393 002, Ankleshwar, 
India",Ania Jaworska,Yes,Missing/wrong Data,FALSE,,TRUE,2,1,0,76.7,59,60,67,62.55,NoAdequacy,Missing adequacy,28.02.2023,Data missing,Error in calculation,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,TRUE,FALSE
"Guangxi Longguang Talc Development Co., Ltd",recF1Vz7uXf9aCC5B,GMP_EXCIPIENTS,20/02/2023,,20/02/2023,2022 IPEC – PQG Good Manufacturing Practices Guide for pharmaceutical excipients,"No. 470 Guilong Road, Longsheng County, Guilin, 
RC-541700, Guangxi, 
China",Chieh Huang,Yes,19.30,TRUE,17/10/2024,FALSE,1,12,0,13.5,34,21,20.8,24.17,Acceptable,55,09.03.2023,05.09.2023,166,23.93,TRUE,TRUE,TRUE,No award,FALSE,FALSE
Farmak A.S.,recQDVsOGWsUL1e96,GMP_API,20/02/2023,21/02/2023,20/02/2023 - 21/02/2023,,"Na Vlcinci 16/3, Klášterní Hradisko, 
779 00, Olomouc, 
Czech Republic",Gonzalo Regal,Yes,66.58,TRUE,,FALSE,5,2,0,55.9,67,54,67,62.45,Excellent,100,20.03.2023,03.05.2023,30,86.04,TRUE,TRUE,TRUE,Silver,TRUE,FALSE
"Changzhou KangPu Pharmaceutical Co., Ltd",rec81Ds8FoScJjwQz,GMP_API,20/02/2023,,20/02/2023,,"No. 6, Jingde East Road, 
213172, Changzhou, 
Jiangsu Province, 
China",Chieh Huang,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,NoAdequacy,Missing adequacy,10.03.2023,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,TRUE,FALSE
Givaudan France Naturals SAS (former Naturex),recmPLCbJkCCWMcHE,OTHER,21/02/2023,,21/02/2023,ISO 22000:2018 Food Safety Management Systems - Requirements for any organization in the food chain,"Actiparc de Pont de Vaux, 
1190, Reyssouze, 
Les Chapelles Sud, 
France",,Yes,88.45,TRUE,,FALSE,0,0,0,100.0,67,67,67,67.00,No CAPA needed,No CAPA needed,08.03.2023,Data missing,No CAPA needed,Not needed,TRUE,TRUE,TRUE,Platinum,TRUE,FALSE
"RZBC Group Co., Ltd.",recF67Z5BAnt6AZLr,OTHER,21/02/2023,,21/02/2023,,"Site: Nº 209, Laiyang Road, Juxian Economic Development Zone, 
276500, Rizhao, 
Shandong, 
China",Chieh Huang,Yes,Missing/wrong Data,FALSE,,TRUE,1,2,0,68.6,59,60,67,62.55,NoAdequacy,Missing adequacy,06.03.2023,23.05.2023,64,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,TRUE,FALSE
Altan Pharmaceuticals S.A. - Warehouse,reczBnfx424dzehmB,GDP_DISTRIBUTION,21/02/2023,,21/02/2023,,"Av. del Dr. Severo Ochoa 37, 
28100, Alcobendas, 
Madrid, 
Spain",Gonzalo Regal,Yes,Missing/wrong Data,FALSE,,TRUE,3,6,0,32.3,45,34,67,49.95,NoAdequacy,Missing adequacy,22.03.2023,Data missing,Error in calculation,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
CCL Label Montreal (CCL Industries Inc),recB3ppE8inRufDGX,GMP_PACKAGING,21/02/2023,,21/02/2023,,"1315 Rue René Descartes, 
QC J3V 0B7, St-Bruno-de-Montarville, 
Canada",Nicolina Guasch,Yes,84.50,TRUE,,FALSE,2,0,0,90.3,67,67,67,67.00,Excellent,100,08.03.2023,11.04.2023,20,90.46,TRUE,TRUE,TRUE,Platinum,TRUE,FALSE
Qadux360 SL,rec6A6R3iMGzLm8KH,ISO_9001,21/02/2023,,21/02/2023,,"Calle Madre Paula Gil Cano 2 Primero Derecha 30009 Murcia., 
30009, Murcia, 
Murcia, 
Spain",Gonzalo Regal,Yes,Missing/wrong Data,FALSE,,TRUE,4,3,0,50.0,34,34,Check,#VALUE!,NoAdequacy,Missing adequacy,17.03.2023,05.05.2023,35,Missing/Wrong CAPA data,TRUE,FALSE,FALSE,Not calculated,FALSE,FALSE
"Tereos TTD, a. s.",recQ9lvZoByGHc3kl,GMP_EXCIPIENTS,21/02/2023,,21/02/2023,2022 IPEC – PQG Good Manufacturing Practices Guide for pharmaceutical excipients (version 5),"Havlíčkova 140, 
280 02, Kolín, 
Czech Republic",Ania Jaworska,Yes,49.34,TRUE,25/09/2024,FALSE,12,1,0,45.9,50,54,60.4,55.56,Acceptable,55,13.03.2023,18.04.2023,22,49.26,TRUE,TRUE,TRUE,No award,FALSE,FALSE
SciTech Specialities Pvt. Ltd.,recvxnY6AFqvJ9mPT,GMP_FDF,21/02/2023,22/02/2023,21/02/2023 - 22/02/2023,,"FACTORY A-3/B-21/22, STICE MISALGAON TAL, SINNAR DISTRICT, 
422112, Nashik, 
Maharashtra, 
India",Gonzalo Regal,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,NoAdequacy,Missing adequacy,27.03.2023,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
Dupont Nutrition Norge AS,reclm5RaFnJQ1e7Xy,GMP_API,21/02/2023,,21/02/2023,EUGMP Part II / ICH Q7,"Steinhaugvegen 1, 
5545, Vormedal, 
Norway",Omar Taha,Yes,45.79,TRUE,25/09/2024,FALSE,3,4,0,44.8,59,47,60,55.20,Acceptable,55,14.03.2023,02.06.2023,66,39.51,TRUE,TRUE,TRUE,No award,FALSE,FALSE
Siegfried (Nantong) Pharmaceuticals Co. Ltd.,rec77ICRjg4bKjsGX,GMP_API,22/02/2023,,22/02/2023,,"No 5, Tongshun Road, 
226017, Nantong, Jiangsu, 
Nantong Economic & Technological Development Area, 
China",Chieh Huang,Yes,Missing/wrong Data,FALSE,,TRUE,3,0,0,85.7,42,67,67,60.75,NoAdequacy,Missing adequacy,03.03.2023,Data missing,Error in calculation,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,TRUE,FALSE
"Tereos TTD, a. s.",recJKJAAGG8bpXEaS,GMP_EXCIPIENTS,22/02/2023,,22/02/2023,2022 IPEC – PQG Good Manufacturing Practices Guide for pharmaceutical excipients (version 5),"Tovární 264, Chrudim IV, 
537 01, Chrudim, 
Czech Republic",Ania Jaworska,Yes,49.34,TRUE,25/09/2024,FALSE,12,1,0,45.9,50,54,60.4,55.56,Acceptable,55,13.03.2023,18.04.2023,22,49.26,TRUE,TRUE,TRUE,No award,FALSE,FALSE
Calyx Chemicals & Pharmaceuticals Ltd,recEgGPGWhSHUaQWy,GMP_API,23/02/2023,,23/02/2023,,"N-102/91 M.I.D.C. Tarapur, 
401506, Thane, 
Maharashtra, 
India",,Yes,Missing/wrong Data,FALSE,,TRUE,2,6,0,34.0,59,47,54,52.80,NoAdequacy,Missing adequacy,13.03.2023,Data missing,Error in calculation,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
