status,monographNumber,englishName,latinName,substance,certificateHolder,cepNumber,cepType,cepStatus,cepIssueDate,cepEndDate,closureDateLastProcedure
In use,1173,Benserazide hydrochloride,Benserazidi hydrochloridum,Benserazide hydrochloride,FERMION OY Espoo FI,R0-CEP 2020-137 - Rev 00,Chemical,Valid,29/08/2022,,29/08/2022
In use,1173,Benserazide hydrochloride,Benserazidi hydrochloridum,Benserazide hydrochloride,Deva Holding A.Ş. Istanbul TR,R0-CEP 2021-345 - Rev 00,Chemical,Valid,25/08/2023,,25/08/2023
In use,1173,Benserazide hydrochloride,Benserazidi hydrochloridum,Benserazide hydrochloride; Pubagang site,ZHEJIANG HENGKANG PHARMACEUTICAL CO.; LTD. Sanmen CN,CEP 2022-310 - Rev 01,Chemical,Valid,11/12/2023,,11/12/2023
In use,1173,Benserazide hydrochloride,Benserazidi hydrochloridum,Benserazide hydrochloride,ZHEJIANG HUAHAI PHARMACEUTICAL CO.; LTD. Linhai CN,CEP 2022-200 - Rev 00,Chemical,Valid,06/02/2024,,13/09/2024
In use,1173,Benserazide hydrochloride,Benserazidi hydrochloridum,Benserazide hydrochloride; Process 2,FERMION OY Espoo FI,CEP 2023-108 - Rev 01,Chemical,Valid,21/01/2025,,21/01/2025
In use,1173,Benserazide hydrochloride,Benserazidi hydrochloridum,Benserazide hydrochloride,CHEMI S.P.A. Cinisello Balsamo IT,CEP 2021-226 - Rev 02,Chemical,Valid,10/02/2025,,10/02/2025
In use,1174,Birch leaf,Betulae folium,,,,,,,,
In use,1175,Neroli oil,Neroli aetheroleum,,,,,,,,
In use,1176,Bovine parainfluenza virus vaccine (live),Vaccinum viri parainfluenzae bovini vivum,,,,,,,,
In use,1177,Bovine respiratory syncytial virus vaccine (live),Vaccinum viri syncytialis meatus spiritus bovini vivum,,,,,,,,
In use,1178,Bromperidol,Bromperidolum,Bromperidol,JANSSEN PHARMACEUTICA NV Beerse BE,R1-CEP 1999-009 - Rev 04,Chemical,Withdrawn by Holder,18/02/2014,13/07/2022,18/02/2014
In use,1178,Bromperidol,Bromperidolum,Bromperidol,OLON S.P.A. Rodano IT,R1-CEP 2016-177 - Rev 00,Chemical,Valid,17/01/2023,,19/12/2024
In use,1179,Bufexamac,Bufexamacum,Bufexamac,BENECHIM S.P.R.L. Lessines BE,R1-CEP 2001-346 - Rev 01,Chemical,Withdrawn by Holder,10/03/2009,13/03/2015,10/03/2009
In use,118,Disodium phosphate dodecahydrate,Dinatrii phosphas dodecahydricus,Disodium phosphate dodecahydrate,QUALITY CHEMICALS S.L. Esparreguera ES,CEP 2017-233 - Rev 02,Chemical,Valid,23/10/2023,,23/10/2023
In use,1180,Buprenorphine,Buprenorphinum,Buprenorphine,N.V. ORGANON Oss NL,R0-CEP 2003-052 - Rev 03,Chemical,Expired,18/04/2007,15/04/2009,18/04/2007
In use,1180,Buprenorphine,Buprenorphinum,Buprenorphine,RUSAN PHARMA LTD Mumbai IN,R0-CEP 2007-065 - Rev 00,Chemical,Withdrawn by EDQM Failure to CEP procedure,16/11/2009,13/11/2012,16/11/2009
In use,1180,Buprenorphine,Buprenorphinum,Buprenorphine,Tasmanian Alkaloids Pty Ltd Westbury AU,R1-CEP 1998-037 - Rev 03,Chemical,Withdrawn by Holder,22/07/2016,11/10/2018,22/07/2016
In use,1180,Buprenorphine,Buprenorphinum,Buprenorphine,AREVIPHARMA GMBH Radebeul DE,R1-CEP 2010-051 - Rev 01,Chemical,Valid,20/01/2017,,23/09/2019
In use,1180,Buprenorphine,Buprenorphinum,Buprenorphine,MACFARLAN SMITH LIMITED Edinburgh GB,R1-CEP 2006-009 - Rev 04,Chemical,Valid,11/12/2019,,13/03/2023
In use,1180,Buprenorphine,Buprenorphinum,Buprenorphine,NORAMCO; LLC. Wilmington US,R0-CEP 2015-318 - Rev 02,Chemical,Withdrawn by Holder,24/02/2021,17/05/2022,28/02/2021
In use,1180,Buprenorphine,Buprenorphinum,Buprenorphine,SPECGX LLC Webster Groves US,R1-CEP 2013-098 - Rev 00,Chemical,Valid,24/06/2021,,24/06/2021
In use,1180,Buprenorphine,Buprenorphinum,Buprenorphine,SIEGFRIED LTD. Zofingen CH,R1-CEP 2007-324 - Rev 01,Chemical,Valid,18/05/2022,,18/05/2022
In use,1180,Buprenorphine,Buprenorphinum,Buprenorphine,CHR. OLESEN SYNTHESIS A/S Hvidovre DK,R0-CEP 2021-098 - Rev 00,Chemical,Valid,14/11/2022,,14/11/2022
In use,1180,Buprenorphine,Buprenorphinum,Buprenorphine,RUSAN PHARMA LTD Mumbai IN,R1-CEP 2015-387 - Rev 00,Chemical,Valid,14/11/2022,,14/11/2022
In use,1180,Buprenorphine,Buprenorphinum,Buprenorphine,PIONEER AGRO INDUSTRIES SANVIN LABORATORIES PRIVATE LIMITED Mumbai IN,CEP 2005-096 - Rev 01,Chemical,Valid,02/10/2023,,02/10/2023
In use,1180,Buprenorphine,Buprenorphinum,Buprenorphine; Process N,AREVIPHARMA GMBH Radebeul DE,CEP 2021-298 - Rev 01,Chemical,Valid,01/02/2024,,21/03/2025
In use,1180,Buprenorphine,Buprenorphinum,Buprenorphine,NORAMCO; LLC. Wilmington US,CEP 2007-190 - Rev 05,Chemical,Valid,20/06/2024,,20/06/2024
In use,1180,Buprenorphine,Buprenorphinum,Buprenorphine,TEVA CZECH INDUSTRIES S.R.O. Opava CZ,CEP 2008-041 - Rev 04,Chemical,Valid,01/08/2024,,01/08/2024
In use,1180,Buprenorphine,Buprenorphinum,Buprenorphine; Process II,SIEGFRIED AG Zofingen CH,CEP 2024-312 - Rev 00,Chemical,Valid,21/08/2024,,21/08/2024
In use,1180,Buprenorphine,Buprenorphinum,Buprenorphine,AZAD PHARMA AG Schaffhausen CH,CEP 2023-254 - Rev 00,Chemical,Valid,08/01/2025,,08/01/2025
In use,1181,Buprenorphine hydrochloride,Buprenorphini hydrochloridum,Buprenorphine hydrochloride,N.V. ORGANON Oss NL,R1-CEP 1999-198 - Rev 02,Chemical,Withdrawn by Holder,17/06/2009,26/03/2012,17/06/2009
In use,1181,Buprenorphine hydrochloride,Buprenorphini hydrochloridum,Buprenorphine hydrochloride,RUSAN PHARMA LTD Mumbai IN,R1-CEP 2001-278 - Rev 02,Chemical,Withdrawn by EDQM Failure to CEP procedure,01/02/2010,13/11/2012,24/10/2012
In use,1181,Buprenorphine hydrochloride,Buprenorphini hydrochloridum,Buprenorphine hydrochloride,RESONANCE LABORATORIES PVT. LTD. Bangalore IN,R0-CEP 2010-166 - Rev 01,Chemical,Expired,04/09/2014,29/08/2017,04/09/2014
In use,1181,Buprenorphine hydrochloride,Buprenorphini hydrochloridum,Buprenorphine hydrochloride,SANOFI CHIMIE Gentilly FR,R1-CEP 2010-291 - Rev 00,Chemical,Withdrawn by Holder,11/04/2016,05/07/2021,15/04/2016
In use,1181,Buprenorphine hydrochloride,Buprenorphini hydrochloridum,Buprenorphine hydrochloride,AREVIPHARMA GMBH Radebeul DE,R1-CEP 2009-346 - Rev 01,Chemical,Valid,20/02/2017,,08/10/2019
In use,1181,Buprenorphine hydrochloride,Buprenorphini hydrochloridum,Buprenorphine hydrochloride,PharmaZell GmbH Raubling DE,R0-CEP 2015-330 - Rev 00,Chemical,Withdrawn by Holder,25/09/2017,09/02/2022,25/09/2017
In use,1181,Buprenorphine hydrochloride,Buprenorphini hydrochloridum,Buprenorphine hydrochloride,SUN PHARMACEUTICAL INDUSTRIES LIMITED Mumbai IN,R1-CEP 2009-312 - Rev 00,Chemical,Valid,08/11/2017,,08/11/2017
In use,1181,Buprenorphine hydrochloride,Buprenorphini hydrochloridum,Buprenorphine hydrochloride,MACFARLAN SMITH LIMITED Edinburgh GB,R1-CEP 2002-168 - Rev 07,Chemical,Valid,25/09/2019,,10/01/2023
In use,1181,Buprenorphine hydrochloride,Buprenorphini hydrochloridum,Buprenorphine hydrochloride,SPECGX LLC Webster Groves US,R1-CEP 2013-048 - Rev 00,Chemical,Valid,04/05/2021,,23/02/2023
In use,1181,Buprenorphine hydrochloride,Buprenorphini hydrochloridum,Buprenorphine hydrochloride,CHR. OLESEN SYNTHESIS A/S Hvidovre DK,R0-CEP 2020-339 - Rev 01,Chemical,Valid,21/06/2022,,05/02/2025
In use,1181,Buprenorphine hydrochloride,Buprenorphini hydrochloridum,Buprenorphine hydrochloride,SIEGFRIED LTD. Zofingen CH,R1-CEP 2007-325 - Rev 01,Chemical,Valid,14/10/2022,,14/10/2022
In use,1181,Buprenorphine hydrochloride,Buprenorphini hydrochloridum,Buprenorphine hydrochloride,RUSAN PHARMA LTD Mumbai IN,R1-CEP 2017-228 - Rev 00,Chemical,Valid,23/01/2023,,23/01/2023
In use,1181,Buprenorphine hydrochloride,Buprenorphini hydrochloridum,Buprenorphine hydrochloride,NORAMCO; LLC. Wilmington US,R1-CEP 2010-142 - Rev 05,Chemical,Valid,23/08/2023,,27/01/2025
In use,1181,Buprenorphine hydrochloride,Buprenorphini hydrochloridum,Buprenorphine hydrochloride; Process II,SPECGX LLC Webster Groves US,R0-CEP 2023-107 - Rev 00,Chemical,Valid,24/08/2023,,24/08/2023
In use,1181,Buprenorphine hydrochloride,Buprenorphini hydrochloridum,Buprenorphine hydrochloride,PIONEER AGRO INDUSTRIES SANVIN LABORATORIES PRIVATE LIMITED Mumbai IN,CEP 2005-095 - Rev 01,Chemical,Valid,02/10/2023,,02/10/2023
In use,1181,Buprenorphine hydrochloride,Buprenorphini hydrochloridum,Buprenorphine hydrochloride; Process II,SIEGFRIED AG Zofingen CH,CEP 2024-011 - Rev 00,Chemical,Valid,10/06/2024,,11/06/2024
In use,1181,Buprenorphine hydrochloride,Buprenorphini hydrochloridum,Buprenorphine hydrochloride; Process N,AREVIPHARMA GMBH Radebeul DE,CEP 2021-431 - Rev 02,Chemical,Valid,28/06/2024,,27/02/2025
In use,1181,Buprenorphine hydrochloride,Buprenorphini hydrochloridum,Buprenorphine hydrochloride,Unichem Laboratories Limited Mumbai IN,CEP 2009-223 - Rev 01,Chemical,Valid,07/11/2024,,07/11/2024
In use,1181,Buprenorphine hydrochloride,Buprenorphini hydrochloridum,Buprenorphine hydrochloride,TAPI CZECH INDUSTRIES S.R.O. Opava CZ,CEP 2004-251 - Rev 06,Chemical,Valid,10/02/2025,,10/02/2025
In use,1182,Calcium ascorbate dihydrate,Calcii ascorbas dihydricus,Calcium ascorbate dihydrate,BASF SE Ludwigshafen DE,R1-CEP 2000-022 - Rev 00,Chemical,Withdrawn by Holder,01/10/2006,26/06/2017,27/06/2017
In use,1182,Calcium ascorbate dihydrate,Calcii ascorbas dihydricus,Calcium ascorbate dihydrate,DSM Nutritional Products Ltd. Kaiseraugst CH,CEP 2002-253 - Rev 01,Chemical,Valid,19/03/2024,,19/03/2024
In use,1183,Calcium dobesilate monohydrate,Calcii dobesilas monohydricus,Calcium dobesilate monohydrate,Bajaj Healthcare Limited Mumbai IN,R0-CEP 2010-209 - Rev 00,Chemical,Withdrawn by EDQM Failure to CEP procedure,07/02/2012,26/06/2012,09/02/2012
In use,1183,Calcium dobesilate monohydrate,Calcii dobesilas monohydricus,Calcium dobesilate monohydrate,ESTEVE QUIMICA S.A. Barcelona ES,R1-CEP 1997-069 - Rev 08,Chemical,Valid,09/08/2018,,23/06/2020
In use,1183,Calcium dobesilate monohydrate,Calcii dobesilas monohydricus,Calcium dobesilate monohydrate,FSP GALENA Wroclaw PL,R1-CEP 2009-065 - Rev 04,Chemical,Valid,06/02/2023,,06/02/2023
In use,1184,Caprylocaproyl macrogolglycerides,Macrogolglyceridorum caprylocaprates,,,,,,,,
In use,1185,Carbasalate calcium,Carbasalatum calcicum,Carbasalate calcium,Archimica Ltd Nr. Chester GB,R0-CEP 2003-106 - Rev 01,Chemical,Withdrawn by Holder,30/08/2006,01/02/2010,30/08/2006
In use,1185,Carbasalate calcium,Carbasalatum calcicum,Carbasalate calcium,Sanofi Winthrop Industrie Gentilly FR,R1-CEP 2000-148 - Rev 03,Chemical,Valid,19/05/2010,,20/05/2010
In use,1186,Carmellose sodium; low-substituted,Carmellosum natricum substitutum humile,,,,,,,,
In use,1187,Carmustine,Carmustinum,Carmustine,AMPAC FINE CHEMICALS Rancho Cordova US,R1-CEP 2002-083 - Rev 02,Chemical,Valid,28/04/2020,,28/04/2020
In use,1187,Carmustine,Carmustinum,Carmustine,EMCURE PHARMACEUTICALS LIMITED Pune IN,R1-CEP 2011-192 - Rev 02,Chemical,Valid,26/04/2023,,19/09/2024
In use,1187,Carmustine,Carmustinum,Carmustine,NERPHARMA S.R.L. Nerviano IT,R0-CEP 2021-212 - Rev 00,Chemical,Valid,07/08/2023,,07/08/2023
In use,1187,Carmustine,Carmustinum,Carmustine,APITORIA PHARMA PRIVATE LIMITED Hyderabad IN,CEP 2018-149 - Rev 03,Chemical,Valid,23/04/2024,,23/04/2024
In use,1187,Carmustine,Carmustinum,Carmustine,MSN LABORATORIES PRIVATE LIMITED Kardanur Village IN,CEP 2017-231 - Rev 04,Chemical,Valid,03/09/2024,,03/09/2024
In use,1187,Carmustine,Carmustinum,Carmustine,INTAS PHARMACEUTICALS LIMITED Ahmedabad IN,CEP 2019-272 - Rev 02,Chemical,Valid,14/10/2024,,14/10/2024
In use,1188,Cefixime,Cefiximum,Cefixime,ASTELLAS PHARMA INC. Tokyo JP,R1-CEP 2001-073 - Rev 00,TSE,Withdrawn by Holder,13/07/2006,12/10/2023,13/07/2006
In use,1188,Cefixime,Cefiximum,Cefixime,ASTELLAS PHARMA INC. Tokyo JP,R1-CEP 1999-158 - Rev 01,Chemical,Withdrawn by Holder,04/04/2007,12/10/2023,05/04/2007
In use,1188,Cefixime,Cefiximum,Cefixime,LUPIN LIMITED Mumbai IN,R0-CEP 2004-123 - Rev 00,Chemical,Withdrawn by Holder,01/08/2007,23/05/2012,01/08/2007
In use,1188,Cefixime,Cefiximum,Cefixime,SANDOZ PRIVATE LIMITED Navi Mumbai IN,R1-CEP 2001-449 - Rev 00,Chemical,Withdrawn by Holder,14/05/2008,16/08/2018,25/08/2008
In use,1188,Cefixime,Cefiximum,Cefixime,SURYA PHARMACEUTICAL LTD. Chandigarh IN,R0-CEP 2007-314 - Rev 00,Chemical,Withdrawn by EDQM Failure to CEP procedure,21/01/2010,10/01/2014,21/01/2010
In use,1188,Cefixime,Cefiximum,Cefixime; Alternative process,SANDOZ PRIVATE LIMITED Navi Mumbai IN,R0-CEP 2010-192 - Rev 00,Chemical,Withdrawn by Holder,08/01/2014,16/08/2018,09/01/2014
In use,1188,Cefixime,Cefiximum,Cefixime,DHANUKA LABORATORIES LTD. Gurgaon IN,R1-CEP 2003-014 - Rev 02,Chemical,Withdrawn by EDQM Failure to CEP procedure,02/06/2014,07/05/2018,02/06/2014
In use,1188,Cefixime,Cefiximum,Cefixime,UNIMARK REMEDIES LIMITED Mumbai IN,R1-CEP 2008-124 - Rev 00,Chemical,Withdrawn by EDQM Failure to CEP procedure,20/11/2015,22/09/2023,20/11/2015
In use,1188,Cefixime,Cefiximum,Cefixime,KYONGBO PHARMACEUTICAL CO.; LTD. Asan-si KR,R0-CEP 2014-217 - Rev 00,Chemical,Withdrawn by Holder,02/12/2016,12/07/2021,02/12/2016
In use,1188,Cefixime,Cefiximum,Cefixime,SANDOZ GMBH Kundl AT,R1-CEP 2009-347 - Rev 02,Chemical,Valid,31/10/2018,,31/10/2018
In use,1188,Cefixime,Cefiximum,Cefixime,NECTAR LIFESCIENCES LIMITED Tehsil Dera Bassi IN,R1-CEP 2011-239 - Rev 00,Chemical,Valid,08/03/2019,,26/03/2024
In use,1188,Cefixime,Cefiximum,Cefixime,HANMI FINE CHEMICAL CO.; LTD. Siheung-si KR,R1-CEP 2002-155 - Rev 06,Chemical,Valid,02/07/2019,,25/07/2022
In use,1188,Cefixime,Cefiximum,Cefixime; Process 2,Qilu Antibiotics Pharmaceutical Co.; Ltd. Jinan CN,R0-CEP 2021-361 - Rev 00,Chemical,Valid,09/12/2021,,12/05/2022
In use,1188,Cefixime,Cefiximum,Cefixime; Process II,NECTAR LIFESCIENCES LIMITED Tehsil Dera Bassi IN,R1-CEP 2017-042 - Rev 00,Chemical,Valid,23/05/2022,,23/05/2022
In use,1188,Cefixime,Cefiximum,Cefixime,APITORIA PHARMA PRIVATE LIMITED Hyderabad IN,CEP 2007-055 - Rev 03,Chemical,Valid,13/12/2023,,13/12/2023
In use,1188,Cefixime,Cefiximum,Cefixime; Process 2,APITORIA PHARMA PRIVATE LIMITED Hyderabad IN,CEP 2011-243 - Rev 03,Chemical,Valid,13/12/2023,,13/12/2023
In use,1188,Cefixime,Cefiximum,Cefixime,ZHEJIANG APELOA TOSPO PHARMACEUTICAL CO.; LTD. Dongyang City CN,CEP 2019-162 - Rev 01,Chemical,Valid,19/07/2024,,19/07/2024
In use,1188,Cefixime,Cefiximum,Cefixime,COVALENT LABORATORIES PRIVATE LIMITED Hyderabad IN,CEP 2023-014 - Rev 00,Chemical,Valid,25/07/2024,,26/07/2024
In use,1188,Cefixime,Cefiximum,Cefixime,ORCHID PHARMA LIMITED Alathur IN,CEP 2002-125 - Rev 03,Chemical,Valid,06/09/2024,,06/09/2024
In use,1188,Cefixime,Cefiximum,Cefixime,PURE AND CURE HEALTHCARE PRIVATE LIMITED Punjab IN,CEP 2009-005 - Rev 02,Chemical,Valid,20/01/2025,,20/01/2025
In use,1188,Cefixime,Cefiximum,Cefixime,QILU ANTIBIOTICS PHARMACEUTICAL CO. LTD. Jinan CN,CEP 2014-213 - Rev 01,Chemical,Valid,26/03/2025,,26/03/2025
In use,1189,Chenodeoxycholic acid,Acidum chenodeoxycholicum,Chenodeoxycholic Acid; Product codes: 2608 - 2610 - 2611,ICE S.P.A. Basaluzzo; Alessandria IT,R1-CEP 2003-238 - Rev 01,TSE,Valid,05/06/2020,,05/06/2020
Suppressed from the Ph. Eur.,119,Mercuric (197Hg) chloride injection,Hydrargyri (197Hg) dichloridi solutio iniectabilis,,,,,,,,
In use,1190,Clemastine fumarate,Clemastini fumaras,Clemastine fumarate,SEKISUI MEDICAL CO.; LTD. Tokyo JP,R1-CEP 2001-262 - Rev 04,Chemical,Valid,17/02/2017,,07/09/2022
In use,1191,Clozapine,Clozapinum,Clozapine,Medichem; S.A. Sant Joan Despí ES,R1-CEP 2008-151 - Rev 00,Chemical,Valid,13/07/2015,,30/06/2020
In use,1191,Clozapine,Clozapinum,Clozapine,AREVIPHARMA GMBH Radebeul DE,R1-CEP 2006-205 - Rev 01,Chemical,Withdrawn by Holder,05/11/2015,20/07/2023,05/11/2015
In use,1191,Clozapine,Clozapinum,Clozapine,SHOUGUANG FUKANG PHARMACEUTICAL CO.; LTD. Shouguang City CN,R1-CEP 2012-006 - Rev 00,Chemical,Valid,12/04/2018,,28/02/2024
In use,1191,Clozapine,Clozapinum,Clozapine,WUHAN SHIJI PHARMACEUTICAL CO.; LTD. Wuhan CN,R1-CEP 2010-087 - Rev 01,Chemical,Valid,23/04/2019,,23/04/2019
In use,1191,Clozapine,Clozapinum,Clozapine,ZCL CHEMICALS LTD. Ankleshwar IN,R0-CEP 2018-192 - Rev 01,Chemical,Valid,12/02/2021,,12/02/2021
In use,1191,Clozapine,Clozapinum,Clozapine,Cambrex Profarmaco Milano S.r.l. Paullo IT,R1-CEP 2005-128 - Rev 03,Chemical,Valid,31/05/2022,,31/05/2022
In use,1191,Clozapine,Clozapinum,Clozapine; Site Khazipally,AURORE LIFE SCIENCES PRIVATE LIMITED Hyderabad IN,CEP 2023-444 - Rev 00,Chemical,Valid,28/03/2024,,28/03/2024
In use,1191,Clozapine,Clozapinum,Clozapine,TIANISH LABORATORIES PRIVATE LIMITED Hyderabad IN,CEP 2008-234 - Rev 02,Chemical,Valid,25/07/2024,,26/07/2024
In use,1191,Clozapine,Clozapinum,Clozapine,Global Calcium Private Limited Hosur IN,CEP 2022-328 - Rev 00,Chemical,Valid,13/12/2024,,13/12/2024
In use,1191,Clozapine,Clozapinum,Clozapine,AURORE LIFE SCIENCES PRIVATE LIMITED Hyderabad IN,CEP 2021-110 - Rev 01,Chemical,Valid,20/01/2025,,20/01/2025
In use,1192,Cod-liver oil,Iecoris aselli oleum,,,,,,,,
Suppressed from the Ph. Eur.,1193,Cod-liver oil (type B),Iecoris aselli oleum B,,,,,,,,
In use,1194,Crotamiton,Crotamitonum,Crotamiton,Bidachem S.p.A. Fornovo San Giovanni IT,R1-CEP 1999-131 - Rev 03,Chemical,Withdrawn by Holder,11/05/2012,21/12/2022,11/05/2012
In use,1194,Crotamiton,Crotamitonum,Crotamiton,TRANSO-PHARM HANDELS GMBH Siek DE,CEP 2014-260 - Rev 01,Chemical,Valid,15/11/2024,,15/11/2024
In use,1194,Crotamiton,Crotamitonum,Crotamiton,MIDAS PHARMA GMBH Ingelheim am Rhein DE,CEP 2018-095 - Rev 03,Chemical,Valid,25/11/2024,,25/11/2024
In use,1195,Dalteparin sodium,Dalteparinum natricum,,,,,,,,
In use,1196,Dexchlorpheniramine maleate,Dexchlorpheniramini maleas,Dexchlorpheniramine maleate,Kongo Chemical Co.; Ltd Toyama City JP,R1-CEP 2014-124 - Rev 00,Chemical,Valid,04/09/2020,,04/09/2020
In use,1197,Dicycloverine hydrochloride,Dicycloverini hydrochloridum,Dicycloverine Hydrochloride,INDOCO REMEDIES LIMITED Mumbai IN,CEP 2008-281 - Rev 06,Chemical,Valid,17/01/2024,,06/03/2025
In use,1198,Diethylene glycol monoethyl ether,Diethylenglycoli aether monoethylicus,,,,,,,,
In use,1199,Dipyridamole,Dipyridamolum,Dipyridamole,Boehringer Ingelheim France Paris FR,R1-CEP 1999-089 - Rev 03,Chemical,Withdrawn by Holder,12/11/2009,11/12/2019,12/11/2009
In use,1199,Dipyridamole,Dipyridamolum,Dipyridamole,Helm AG Hamburg DE,R1-CEP 2007-196 - Rev 00,Chemical,Withdrawn by Holder,21/08/2014,09/01/2015,09/01/2015
In use,1199,Dipyridamole,Dipyridamolum,Dipyridamole; Process II,MYLAN LABORATORIES LIMITED Hyderabad IN,R0-CEP 2016-123 - Rev 01,Chemical,Withdrawn by Holder,22/09/2017,17/03/2021,22/09/2017
In use,1199,Dipyridamole,Dipyridamolum,Dipyridamole,AGC PHARMA CHEMICALS EUROPE S.L.U. Malgrat De Mar ES,R1-CEP 2000-146 - Rev 04,Chemical,Valid,26/11/2019,,12/03/2024
In use,1199,Dipyridamole,Dipyridamolum,Dipyridamole,QIDONG DONGYUE PHARMACEUTICAL CO.; LTD. Qidong City CN,R0-CEP 2020-035 - Rev 00,Chemical,Valid,03/08/2022,,03/08/2022
In use,1199,Dipyridamole,Dipyridamolum,Dipyridamole,COHANCE LIFESCIENCES LIMITED Hyderabad IN,R1-CEP 2014-148 - Rev 01,Chemical,Valid,16/12/2022,,16/12/2022
In use,1199,Dipyridamole,Dipyridamolum,Dipyridamole,SOLARA ACTIVE PHARMA SCIENCES LIMITED Chennai IN,CEP 2021-019 - Rev 00,Chemical,Valid,27/02/2024,,27/02/2024
In use,1199,Dipyridamole,Dipyridamolum,Dipyridamole,GLENMARK LIFE SCIENCES LIMITED Mumbai IN,CEP 2017-023 - Rev 02,Chemical,Valid,12/06/2024,,12/06/2024
In use,1199,Dipyridamole,Dipyridamolum,Dipyridamole,TIANISH LABORATORIES PRIVATE LIMITED Hyderabad IN,CEP 2011-244 - Rev 04,Chemical,Valid,30/07/2024,,30/07/2024
In use,1199,Dipyridamole,Dipyridamolum,Dipyridamole,SOCIETÀ ITALIANA MEDICINALI SCANDICCI S.I.M.S. S.R.L Reggello IT,CEP 2004-204 - Rev 04,Chemical,Valid,27/01/2025,,27/01/2025
In use,12,Bismuth subcarbonate,Bismuthi subcarbonas,,,,,,,,
In use,120,Mercuric chloride,Hydrargyri dichloridum,,,,,,,,
In use,1200,Dobutamine hydrochloride,Dobutamini hydrochloridum,Dobutamine hydrochloride,SIEGFRIED PHARMACHEMIKALIEN MINDEN GMBH Minden DE,R1-CEP 2006-273 - Rev 01,Chemical,Valid,15/12/2015,,19/02/2024
In use,1200,Dobutamine hydrochloride,Dobutamini hydrochloridum,Dobutamine hydrochloride,EXCELLA GMBH & CO. KG Feucht DE,R1-CEP 2002-173 - Rev 03,Chemical,Valid,09/12/2016,,09/12/2016
In use,1200,Dobutamine hydrochloride,Dobutamini hydrochloridum,Dobutamine hydrochloride,BIOINDUSTRIA L.I.M. S.P.A. Novi Ligure IT,R1-CEP 2004-261 - Rev 01,Chemical,Valid,07/03/2018,,07/03/2018
In use,1200,Dobutamine hydrochloride,Dobutamini hydrochloridum,Dobutamine hydrochloride,ARAGEN LIFE SCIENCES LIMITED Hyderabad IN,R0-CEP 2016-106 - Rev 03,Chemical,Withdrawn by Holder,22/02/2021,29/09/2021,22/02/2021
In use,1200,Dobutamine hydrochloride,Dobutamini hydrochloridum,Dobutamine hydrochloride,HAINAN POLY PHARMACEUTICAL COMPANY LIMITED Haikou CN,R0-CEP 2020-415 - Rev 00,Chemical,Valid,22/09/2021,,22/09/2021
In use,1200,Dobutamine hydrochloride,Dobutamini hydrochloridum,Dobutamine hydrochloride; Process-2,ARAGEN LIFE SCIENCES LIMITED Hyderabad IN,CEP 2020-180 - Rev 03,Chemical,Valid,19/10/2023,,20/10/2023
In use,1200,Dobutamine hydrochloride,Dobutamini hydrochloridum,Dobutamine hydrochloride,RECORDATI INDUSTRIA CHIMICA E FARMACEUTICA S.P.A. Milano IT,CEP 2017-291 - Rev 01,Chemical,Valid,01/03/2024,,01/03/2024
In use,1201,Doxapram hydrochloride monohydrate,Doxaprami hydrochloridum monohydricum,Doxapram Hydrochloride,MIDAS PHARMA GMBH Ingelheim am Rhein DE,R1-CEP 2017-084 - Rev 00,Chemical,Valid,17/07/2023,,17/07/2023
In use,1202,Egg drop syndrome '76 vaccine (inactivated),Vaccinum morbi partus diminutionis MCMLXXVI inactivatum ad pullum,,,,,,,,
In use,1203,Estriol,Estriolum,Estriol,ASPEN OSS B.V. Oss NL,R1-CEP 1999-179 - Rev 05,Chemical,Valid,29/03/2017,,13/06/2018
In use,1203,Estriol,Estriolum,Estriol; Micronised,QINHUANGDAO ZIZHU PHARMACEUTICAL CO.; LTD. Qinhuangdao City CN,R1-CEP 2015-014 - Rev 00,Chemical,Valid,11/02/2021,,11/02/2021
In use,1203,Estriol,Estriolum,Estriol; Micro 20,BAYER AG Leverkusen DE,R1-CEP 2003-160 - Rev 05,Chemical,Valid,24/09/2021,,24/09/2021
In use,1203,Estriol,Estriolum,Estriol; Micronised,HAPILA GMBH Gera DE,R1-CEP 2013-277 - Rev 01,Chemical,Valid,05/04/2022,,29/01/2024
In use,1203,Estriol,Estriolum,Estriol; Estriol LL,ASPEN OSS B.V. Oss NL,R0-CEP 2020-208 - Rev 01,Chemical,Valid,25/11/2022,,27/07/2023
In use,1204,Etamsylate,Etamsylatum,Etamsylate; Code 0122-P54 - Code 0122-P57,ESTEVE QUIMICA S.A. Barcelona ES,R1-CEP 1997-070 - Rev 08,Chemical,Valid,22/11/2019,,17/10/2023
In use,1204,Etamsylate,Etamsylatum,Etamsylate,FSP GALENA Wroclaw PL,R1-CEP 2008-317 - Rev 04,Chemical,Valid,28/10/2022,,28/10/2022
In use,1205,Etilefrine hydrochloride,Etilefrini hydrochloridum,Etilefrine Hydrochloride,Boehringer Ingelheim Pharma GmbH & Co. KG Ingelheim Am Rhein DE,R1-CEP 2000-011 - Rev 01,Chemical,Valid,26/04/2006,,14/11/2016
In use,1206,Feline viral rhinotracheitis vaccine (live),Vaccinum rhinotracheitidis viralis felinae vivum,,,,,,,,
In use,1207,Feline viral rhinotracheitis vaccine (inactivated),Vaccinum rhinotracheitidis viralis felinae inactivatum,,,,,,,,
