ceapp_id_supplier,ceapp_id_supplier_site,ceapp_supplier_name,ceapp_supplier_site_name
919,1796,Granules India,Granules India Limited - Site Hyderabad
271,651,Zydus Lifesciences,Zydus Takeda Healthcare Pvt. Ltd
544,1365,USV Private,USV Private Ltd. - Site Taluka Khed
1595,2592,Montebello Packaging,Montebello Packaging - Site Kentucky
2062,3171,MA Pharmaceuticals,MA Pharmaceuticals Trading Ltd
184,3614,Sun Pharmaceutical,Terapia S.A
186,1920,Unichem Laboratories,Unichem Laboratories Ltd. - Site Maharashtra
1778,2836,Comar,Comar Inc - Site Buena
1694,2735,AnaPath,AnaPath Research S.A.U.
2071,3196,Marzek Kner Packaging,Marzek Kner Packaging Kft
980,223,LyondellBasell Group,Lyondell-Basell Germany - Site Frankfurt am Main
73,163,CTLPack,CTLPack Vichy
847,1705,BRR,"BioRepository Resources, LLC."
1993,3069,Abopharma Bulgaria EOOD,DIACOMMERCE EOOD
149,2672,SGS Pharma,SGS Institut Fresenius GmbH - Site Taunusstein
2192,3349,Sinkona Indonesia,PT Sinkona Indonesia Lestari
396,1035,G.L. Pharma,G.L. Pharma GmbH - Site Lannach
400,1055,GlaxoSmithKline,GlaxoSmithKline UK Limited - Site Durham
1712,2756,Evotec,Aptuit Verona S.r.l.
2274,3443,Salus,Salus International Sp. Z.o.o
374,981,Egis Pharmaceuticals,Egis Pharmaceuticals PLC - Site 3
1247,2197,Hospital Quirónsalud A Coruña,Hospital Quirónsalud A Coruña
508,1291,Schott,Schott France Pharma Systems SAS
978,1850,Barcelonesa,Barcelonesa de Drogas y Productos Químicos S.A.U.
1940,3012,DPA Label Pack,DPA Label Pack S.A.
2104,3295,Netpharmalab,Netpharmalab Consulting Services S.L.
1510,2473,Wuhan QR Pharmaceutical,"Wuhan QR Pharmaceutical Co., Ltd."
934,1803,Hamari Chemicals,"Hamari PFST, Ltd - Chitose Site"
1308,2244,Zhejiang Aoxing Biotechnology,Jiangsu Aoxin Biotechnology Co Ltd
1774,2830,Colly & Martin,COLLY et MARTIN
386,1012,Fagron,Fagron GmbH & Co. KG - Site Glinde
1276,2208,Hebei Shengxue Dacheng Pharmaceutical,Hebei Shengxue Dacheng Pharmaceutical Co.Ltd - Unit 160
34,2661,Bormioli Pharma,Remy & Geiser GmbH - Site Schleusingen
2035,3144,JANA,Jubail Chemical Industries Co.
149,349,SGS Pharma,"SGS-CSTC Standards Technical Services Co., Ltd. - Site Cosmetic Lab"
2107,3328,Norwich Clinical Services,Norwich Clinical Services Pvt Ltd
135,298,Pall Corporation,Pall Life Sciences Belgium BV
904,1770,Garplast,Garplast - Botellas Plásticas SL
1975,3080,HyGreen,HyGreen Co.
1388,2329,Shaanxi Meihe Biochemics,Shaanxi Meihe Biochemics Co.
822,1679,BHS Global Logistics,BHS Logistics
1203,2132,Getinge,Getinge Sterilization AB
297,763,Malladi Drugs & Pharmaceuticals,Malladi Drugs & Pharmaceuticals Limited - Unit 1
2419,3609,Teijin Pharma,Teijin Pharma Ltd
2274,3444,Salus,"Salus Veletrgovina, d.o.o."
366,960,Diverchim,Diverchim CDMO
123,278,Eurofins,Eurofins BioPharma Product Testing Switzerland AG
1628,2550,Medopharm Private,Medopharm Private Limited
197,448,Gerresheimer,Gerresheimer Queretaro S.A
420,1103,JM Huber Micropowders,JM Huber Micropowders Inc. - Site La Mirada
992,1868,Beijing Baiao Pharmaceutical,"Beijing Baiao Pharmaceutical Co., Ltd"
408,1071,IMCD,IMCD Switzerland AG
710,1561,Etiqroll,Etiqroll France S.A.
1683,2715,ALPLA Group,ALPLA Packaging Romania
1698,2740,Anek Prayog,Anek Prayog Pvt. Ltd.
2168,3294,Plenia Health Corporation,Plenia Health Corporation Venezuela
63,155,ICN Polfa Rzeszów,Icn Polfa
2019,3129,Instituto Químico de Sarrià,IQS - Institut Químic de Sarrià
570,1403,Wessling,Wessling GmbH
2052,3161,Lighthouse Instruments,Lighthouse Instruments BV
1976,3081,IMS,I.M.S. SRL Micronizzazioni
24,74,Athenstaedt Pharmaceuticals,athenstaedt GmbH & Co KG
2476,3661,Maithri Drugs,Maithri
546,1370,Veeda Clinical Research,Veeda Clinical Research Pvt. Ltd. - Site Gujarat
2610,3832,Cetis Flex,Cetis Flex
407,2626,I.F.F. International Flavors & Fragrances,Tastepoint d.o.o.
2190,3347,Kalbe Farma,PT Kalbe Farma
1532,2499,Zhejiang Ausun Pharmaceutical,"Zhejiang Ausun Pharmaceutical Co., Ltd."
1135,2051,Planzer Holding,Planzer Transport AG - Site Villmergen
190,386,Synthon,Synthon B.V
813,1669,Belimed Life Science,Belimed Life Science AG
1755,2809,Chemspec Chemicals,Chemspec Chemicals Pvt. Ltd.
1917,2922,DAE HWA Pharmaceutical,"Dae Hwa Pharmaceutical Co., Ltd"
1324,2260,Jiangsu Zenji Pharmaceuticals,Zenji Pharmaceuticals (Suzhou) Ltd.
2414,3602,Tech Tube,Tech Tube Ltd
165,317,Ropack,Ropack Inc
152,3717,Sanofi,Sanofi Chimie France - Site Gentilly
197,445,Gerresheimer,Gerresheimer Boleslawiec S.A.
2208,3380,Raptim Research,Raptim Research Pvt Ltd
2513,3737,Stethos,Stethos SRL
2626,3848,Hubei Guangji Pharmaceutical,Hubei Guangji Pharmaceutical
1883,2989,PGP Glass,PGP Glass Private Limited
1521,2486,Aurisco Pharmaceutical,Zhejiang Tiantai Aurisco Pharmaceutical Co. Ltd.
1272,2179,Henry Lamotte,Henry Lamotte Oils GmbH
270,645,Xellia Pharmaceuticals,Xellia Pharmaceuticals - Site Kopenhagen
439,1135,Laboratoris Feltor,"Laboratoris Feltor, S.A."
284,689,Solara Active Pharma Sciences,Solara Active Pharma Sciences Limited - Site Maharashtra
4,842,ACS Dobfar,ACS Dobfar S.P.A. - Site Vimercate
554,1385,Zignago Holding,Zignago Vetro S.p.A.
2374,3544,Soplatec,Soplatec SL
292,735,Oximio,Oximio Georgia
653,1500,Dr. Welti,Dr. Heinz Welti
1189,2116,Guangzhou Hanpu Pharmaceutical,"Guangzhou Hanpu Pharmaceutical Co.,Ltd"
123,274,Eurofins,Eurofins BioPharma Product Testing Munich GmbH
819,1675,Berkshire Corp,Berkshire Corporation - Site Whitsett
1231,2160,Haw Par Healthcare Corp,Haw Par Healthcare Limited
1957,3066,Kalintis Healthcare,Kalintis Healthcare Private Limited
1041,1931,UPS,United Parcel Service Deutschland Inc. & Co. OHG
1788,2847,Industria Chimica Valenzana,Industria Chimica Valenzana S.p.A.
2260,3460,Saraf Chemicals,Sarex Overseas Pvt Ltd
54,129,Cipla,Cipla Verna - Unit II
1633,2572,Micromun Greifswald,MICROMUN Privates Institut für Mikrobiologische Forschung GmbH
76,179,Delpharm,Delpharm Reims
2156,3254,PHOENIX Group,PHOENIX Pharma EOOD
59,943,Croda International,Croda Europe Limited
361,940,Corning,Corning Incorporated Life Sciences - Site Durham
1008,1891,Viatris,Viatris Pharmaceuticals LLC
92,205,Lupin Pharmaceuticals,Lupin Limited Mandideep - Unit 1
1336,2273,Sihuan Pharmaceutical,Jilin Shengtong Chemical Co. Ltd.
67,157,Institut Kuhlmann,Institut Kuhlmann GmbH
2613,3835,GA Stamatis,GA Stamatis
419,1101,Ionisos,"Ionisos, SASU - Site Sablé-sur-Sarthe"
876,1741,FILAB,Filab S.A.S.
836,1693,Biofrontera,Biofrontera Pharma GmbH
1475,2435,Lablabo,Lablabo SAS
1666,2693,TRPharm,TRPharm İlaç Sanayi Ticaret Anonim Şirketi
25,1886,Aurorium Group,Vertellus Specialities UK Ltd
66,184,Indena,Indena Italy S.p.A. - Site Settala
2329,3589,Strides Pharma,Strides Shasun Limited
253,498,Asahi Kasei Corporation,Asahi Kasei Medical - Site Nobeoka
1158,2078,Chengdu Kelong Chemical,"Chengdu Kelong Chemical Co.,Ltd"
1307,2243,Zhejiang Jianhua Group,"JH Nanhang Life Sciences Co., Ltd."
2201,3360,QEMETICA,Qemetica Soda Deutschland GmbH & Co. KG
2064,3179,Magistra C&C,Magistra C&C SRL - Site Constanta
1423,2370,Sichuan Shifang Sangao Biochemical Industrial,"Sichuan Shifang Sangao Biochemical Industrial Co., Ltd"
2102,3287,Neopharmed Gentili,Neopharmed Gentili S.p.A.
2307,3468,SCA Logistik & Fulfillment,SCA Logistik & Fulfillment GmbH
2179,3334,ProductLife Group,ProductLife Germany GmbH
432,1128,Synerlab,"Laboratorios Alcalá Farma, S.L."
295,750,Mitsubishi Chemical Corporation,Mitsubishi Tanabe Pharma Europe Limited
1484,2443,Medical Union Pharmaceuticals,Medical Union Pharmaceuticals Ltd
1549,2520,Zhejiang CONBA Pharmaceutical,"Zhejiang Jinhua CONBA Bio-pharm. Co., Ltd."
123,261,Eurofins,Eurofins BioPharma Product Testing Denmark A/S
93,563,Dr. Reddy’s Laboratories,Dr. Reddy's Laboratories Ltd - CTO VI
642,1487,Darley Limited,Darley Limited
1989,3095,Ilhaplast,"Ilhaplast, Sociedade Transformadora de Plásticos S.A."
1617,2563,Mettler-Toledo,Mettler Toledo GmbH
117,2595,MSN Laboratories,MSN Laboratories Private Limited - Site Patancheru
1310,2245,WZ Group,Jiangsu Coben Pharmaceutical Co Ltd
260,544,CCL Label,CCL Package Label SNC
189,423,Evonik,Evonik Antwerpen N.V.
2156,3257,PHOENIX Group,PHOENIX Pharma Hungary Zrt.
253,497,Asahi Kasei Corporation,Asahi Kasei Finechem Co. Ltd.
549,1376,Zentiva Group,Zentiva Pharma Germany GmbH
754,1605,Fondazione Italiana Linfomi,Fondazione Italiana Linfomi - Site Modena
629,1472,Aizant Drug Research Solutions,Aizant Drug Research Solutions Pvt. Ltd.
2081,3210,ME Logistic-Services,ME Logistic Services GmbH & Co. KG
912,1777,Genepharm,Genepharm S.A.
2094,3242,Mycenax Biotech,Mycenax Biotech Inc.
2025,3136,Brow Packaging,John C. Brow Ltd
557,1388,Zinereo Pharma,Zinereo Pharma
2506,3725,Australian Alkaloids,Australian Alkaloids Pty Ltd
1443,2395,JSR Corp,"KBI Biopharma, Inc"
2479,3668,Laboratoires Steripharma,Steripharma
1479,2432,Labcorp,"Labcorp Early Development Laboratories, Ltd - Site North Yorkshire"
1831,2885,Copermed,Copermed Comercial Importadora LTDA
497,1265,Qilu Pharmaceutical,"Qilu Pharmaceutical Co., Ltd. - Unit No. 23999"
268,625,West Pharmaceutical Services,"West Pharmaceutical Services, Inc. - Site Kinston"
990,1866,Aton Biotech,Aton Biotech
2101,3284,Neopharm Labs,Neopharm Labs Inc
2449,3646,Yingkou Sanzheng New Technology Chemical Industry,"Yingkou Sanzheng New Technology Chemical Industry Co., Ltd"
1568,2546,Zuellig Pharma Holdings,"Zuellig Pharma China Co., Ltd."
262,559,DHL,DHL Global Forwarding GmbH - Site Raunheim
788,1642,Burmeister + Bendel,Burmeister + Bendel GmbH
1650,2673,Smilax Labs,Smilax Laboratories Ltd - Unit IV
1684,2718,Alta Laboratories,Alta Laboratories Ltd
116,1164,Merck,MilliporeSigma - Site Miamisburg
1214,2144,Greenfield Global,Greenfield Global USA Inc
1072,1967,Laboratoire Renaudin,Laboratoire Renaudin SAS
1045,1935,Uniklinik Köln,University Hospital of Cologne
1534,2501,Zhejiang Changming Pharmaceuticals,Zhejiang Changming Pharmaceuticals Co. Ltd
390,667,Thermo Fisher Scientific,Thermo Fisher Life Technologies
252,603,Aurobindo Pharma Limited,Aurobindo Pharma Limited - Unit 5
925,1792,Gráficas Manero,"Gráficas Manero, S.L."
2491,3688,EUMEDICA PHARMACEUTICALS INDUSTRIES,Eumedica Pharmaceuticals Industries
116,758,Merck,Merck Spain - Site Mollet del Vallés
491,1248,Kerry Group,Kerry Bio-Science - Site Norwich
83,172,Cyberfreight Amsterdam,Cyberfreight Amsterdam Bv
2375,3545,Sosaer Metallwarenfabrik Oskar Lange,Sosaer Metallwarenfabrik Oskar Lange e.K
264,571,DSV,DSV Air & Sea Germany GmbH - Site Weiterstadt
759,1610,Formosa Plastics Group,"Formosa Laboratories, Inc. - Site Mailiao"
478,1221,PharmaLex,PharmaLex France
359,935,Carlo Erba Reagents,Carlo Erba Reagents S.A.S. - Site Val de Reuil
116,751,Merck,Merck Austria
536,1349,The Challenge Printing Company,The Challenge Printing Company - Site Sanford
884,1750,FiGroup Holding,Fischer Chemicals AG
430,1125,Laboratories Synth Innove,Laboratories Synth Innove
523,1317,SPI Pharma,SPI Pharma Inc. - Site Lewes
551,1381,Westlake Corp.,Westlake Compounds Italy S.r.l.
58,145,Constantia Flexibles,Constantia Tobepal S.L.
286,702,Siegfried,Siegfried AG
1201,2129,NCPC International Corp,"North China Pharmaceutical Co., Ltd  - Nr. 8"
2477,3663,Optima Packaging,Optima Pharma GmbH
2217,3379,Rangel Logistics Solutions,"Rangel Distribuição e Logística, S.A."
1452,2405,Kishi Kasei,Kishi Kasei Co. Ltd
2391,3571,Stada,STADA Arzneimittel AG
862,1719,Borosil Group,Borosil Scientific Limited - Site Gonde
1209,2139,Giphar Groupe,Giphar Angers
22,69,Berry Global,Berry Plastics Canada Inc
895,1762,Galena Pharma,Galena Pharma Oy
316,840,Acino,Acino Estonia OÜ
1921,3042,Fine Foods,Fine Foods & Pharmaceuticals N.T.M. SpA
135,617,Pall Corporation,Pall Manufacturing - Site Ifracombe
1640,2642,Suyog Life Sciences,Suyog Life Sciences Pvt. Ltd.
1653,2679,Leca Graphics,Leca Graphics Tipograf - Site San Fernando Henares
289,718,DB Schenker,Schenker Schweiz AG
2263,3457,SAP,SAP Deutschland SE & Co.KG
123,263,Eurofins,Eurofins Pharma Quality Control
463,1187,NextPharma,NextPharma GmbH - Site Bielefeld
393,1032,Fresenius Kabi,Fresenius Kabi Oncology Ltd.
797,1652,Candoro Ethics,Candoro ethics GmbH
2357,3518,Silver Fern Farms,Silver Fern Farms Pacific Ltd
267,593,Olon,Olon S.p.A. - Site Mulazzano
81,160,Kirsch Pharma,Kirsch Pharma GmbH
1162,2083,China Resources Pharmaceutical Group,China Resources Guangdong Pharmaceutical Co Ltd
2498,3709,Green Pack Foils,Green Pack Foils Pvt. Ltd.
56,136,Clariant,"Clariant Ibérica Producción, S.A."
527,1325,Stepan Company,Stepan - Site Illinois
537,1351,THI,THI Total Healthcare Innovation GmbH
117,250,MSN Laboratories,MSN Pharmachem Pvt. Ltd. - Unit II
2562,3802,SRL Pharma,SRL Pharma GmbH
628,1471,Airpharm Logistics,Airpharm S.L.U.
1500,2461,Topharman Shandong,Topharman Shandong Co. Ltd.
53,124,Insud Pharma,Laboratorios Leon Farma
513,1303,Sensient Pharma,Sensient Colors S.A. de C.V.
272,653,VWR International,VWR International - Site Rosny-sous-Bois
284,690,Solara Active Pharma Sciences,Solara Active Pharma Sciences Limited - Site Atchutapuram
186,407,Unichem Laboratories,Unichem Laboratories Ltd. - Site Kagal
1931,3024,ElPack Group,EL Pack S.A.
785,2724,Ambuja Solvex,Ambuja Solvex Pvt. Ltd.
1314,2249,Jiangsu Hualan New Pharmaceutical Material,"Jiangsu Hualan New Pharmaceutical Material Co., Ltd"
1255,2192,Hokko Chemical Industry,Hokko Chemical Industry Co. Ltd.
1643,2650,Pia Fondazione Panico,Ospedale Cardinale G. Panico
1935,3007,Dominion Salt,Dominion Salt Ltd
738,1589,Ezi-Dock,EZI DOCK Systems Limited
1046,1936,Universitätsklinikum Ulm,University Hospital Of Ulm
637,1481,Alcami,Alcami Carolinas Corporation
290,720,Sartorius Stedim,Sartorius Stedim
2215,3375,Raffinerie Tirlemontoise,Raffinerie Tirlemontoise SA
492,1252,Megafine Pharma,Megafine Pharma - Site Valsad
1785,2843,Concept Life Sciences,Concept Life Sciences Ltd
338,895,Bolloré Logistics,Bolloré Logistics Austria GmbH
1580,2611,Tagros Chemicals,Tagros Chemicals India Pvt. Ltd
2045,3280,Navyug Pharmachem,Navyug Pharmachem Pvt. Ltd
535,1347,Terumo,Terumo Europe NV
22,3229,Berry Global,"Obrist (Thailand) Co., Ltd."
1853,2923,Daesang,Daesang Corporation - Site Jeollabuk-do
2497,3707,Alchem International,Alchem International Pvt. Ltd.
252,494,Aurobindo Pharma Limited,Apitoria Pharma Private Limited - Unit 2
886,1752,Fleminglabs,Fleming Laboratories Limited - Unit 1
22,70,Berry Global,Maynard & Harris Plastics (UK) Limited - Site Beccles
256,605,Becton Dickinson,"Becton, Dickinson and Company"
2388,3567,SRL Dental,SRL Dental GmbH
869,1726,Brodart Packaging,Brodart SAS
251,602,Aarti Drugs Limited,Aarti Pharmalabs Limited - Plot Nr. 22 C/1
361,2891,Corning,"Corning Science México, S.A. de C.V."
2559,3799,Tosama,Tosama d.o.o. - Site Domzale
528,1331,STERIS,STERIS Corporation - Site St. Louis
41,99,Cabot,Cabot GmbH
1103,2003,Liquid Quimica Mexicana,"Liquid Quimica Mexicana, S.A."
2425,3617,THC Pharm,THC Pharm GmbH
1386,2327,Shaanxi Baoxin Pharmaceutical,Shaanxi Baoxin Pharmaceutical - Site Qishan
1290,2226,Haosun Industry,Hubei Haosun Pharmaceutical Co. Ltd.
242,430,FDC Ltd,FDC Ltd.
255,510,BASF,BASF Pharma Callanish Ltd.
145,302,Perlen Packaging,Perlen Packaging Siwss Ag - Site Perlen
263,565,Drug Plastics and Glass Co,"Drug Plastics and Glass Co., Inc. - Site Elysburg"
133,3317,Nolato,Nolato Cerbo AB
534,1616,Aenova Holding,Aenova IP GmbH
290,1479,Sartorius Stedim,Albumedix Ltd.
2661,3892,Tentamus Oldenburg,Tentamus Oldenburg
401,1058,Harman Finochem,Harman Finochem Limited - Site Chikalthana
2088,3230,Mineraria Sacilese,Mineraria Sacilese S.p.A.
93,219,Dr. Reddy’s Laboratories,Dr. Reddy’s Laboratories Ltd. - Site Baddi
1773,2829,Colep Packaging,Colep Polska Sp. z o.o.
864,1721,Botanic Healthcare,Botanic Healthcare Pvt Ltd
184,2632,Sun Pharmaceutical,Sun Pharmaceutical Industries Ltd. - Site Ahmednagar
1704,2747,Antellis,Antellis Toulouse
1369,2307,Ningxia Kingvit Pharmaceutical,"Ningxia Kingvit Pharmaceutical Co.,LTD"
1493,2454,Tianhua Tech,"Tianhua Tech. Co., Ltd"
521,1492,ADM SIO,Deerland Probiotics and Enzymes Inc.
1064,1957,TUPACK,TUPACK Verpackungen GesmbH
458,1174,Morepen Laboratories,Morepen Laboratories Ltd. - Site Baddi
397,1039,GBA Group,GBA Group
290,721,Sartorius Stedim,Sartorius Stedim Bioprocess SARL
22,71,Berry Global,Maynard & Harris Plastics (UK) Limited - Site Ellough
200,460,Haupt Pharma,Haupt Pharma Wolfratshausen GmbH
1515,2479,Xinjiang Jinshuo Plant Additive,"Xinjiang Jinshuo Plant Additive Co., Ltd."
1780,2841,Compass Biomedical,"Compass Biomedical, Inc"
32,84,Bionorica SE,Bionorica SE
58,142,Constantia Flexibles,Constantia Sittingbourne Limited
332,881,bardusch-Textil,bardusch GmbH & Co. KG - Site Werder
1114,2014,Lozy's Pharmaceuticals,Lozy's Pharmaceuticals S.L.
150,2664,Seqens,SEQENS Thailand - Siite Bangpoo
2252,3402,Roberts Metal Packaging,Roberts Metal Packaging Ltd
34,91,Bormioli Pharma,Bormioli Pharma S.p.A. - Site Vasto
1843,2905,CTS Pharma,CTS Chemical Industries Ltd
685,1536,ELPEN Pharmaceuticals,Elpen Pharmaceutical Co. Inc.
2405,3587,Stratus Packaging,Stratus Packaging SEEC - Site Viriat
385,1009,FAES Farma,Faes Farma Portugal SA - Site Amadora
1642,2644,Sympatec,Sympatec GmbH
1862,2937,Devrimed,Devrimed BV
749,1600,Ferrer,Ferrer Internacional SA
1724,2772,Arxada,Arxada AG
2083,3212,Mebra Plastik,Mebra Plastik Italia S.p.A.
2291,3424,Rusan Pharma,Rusan Pharma Limited
747,1596,FB-Vision,FB VISION S.p.A
1165,2088,Chongqing Chunrui Medicine Chemical,"Sichuan Wusheng Chunrui Medicine Chemical Co., Ltd"
1635,2637,DIC Corp,Sun Chemical Co. Ltd
2180,3335,Productos Aditivos,"Productos Aditivos, S.A"
1898,2979,PEP Labels,PEP Labels AG
2519,3743,Proge Farm,Proge Farm SRL
184,2635,Sun Pharmaceutical,Sun Pharmaceutical Industries Ltd. - Site Halol
1512,2476,Yuanda China,"Wuhan Wuyao Pharmaceutical Co., Ltd - Site 2"
628,1470,Airpharm Logistics,Airpharm Pratteln SA
567,1400,WestRock,WestRock Schlüter Print Pharma Packaging GmbH
117,254,MSN Laboratories,MSN Pharmachem Pvt. Ltd. - Unit 2
1287,2221,Huazhong Pharmaceutical Company,Huazhong Pharmaceutical Co. Ltd.
2323,3540,Soneka Chemicals,Soneka Chemicals Pvt. Ltd.
2611,3833,Taihei Chemical Industrial,Taihei Chemical Industrial
114,241,Encube Ethical,Encube Ethical PvT. Ltd.
7,17,ALS Global,ALS Czech Republic
104,209,Divi's,Divi's Laboratories Limited (Unit 1)
499,1270,Quotient Science,Quotient Science Limited - Site Ruddington
416,1090,Intrograf,Intrograf Lublin S.A. - Site I
875,1740,Grupo Penha,Fabrica De Papel E Papelao Nossa Senhora Da Penha S.A.
1548,2518,Tianyu,Zhejiang Tianyu (Linhai) Pharmaceuticals Co. Ltd.
1730,2779,Bausch + Ströbel,Bausch + Ströbel SE + Co. KG
773,1625,ALG Chemicals,ALG Chemicals India
531,1339,Synergene Active Ingredients,Synergene Active Ingredients Pvt. Ltd. India - Site Maharashtra
123,268,Eurofins,Eurofins Dr. Specht Laboratorien GmbH
2569,3811,Inke,Inke S.A. - Site Castellbisbal
893,1760,FTF Pharma,FTF Pharma Private Limited
1996,3102,Immacule Lifesciences,Immacule Lifesciences Pvt. Ltd.
122,256,ESKAY Pharma,Eskay Speciality Chemicals
1982,3747,Israel Chemicals,Israel Chemicals Group
1345,2282,Lanzhou Tuoyu New Material Technology,"Lanzhou Tuoyu New Material Technology Co., Ltd"
1225,2154,H. Essers,H.Essers Transport Company Germany GmbH
262,561,DHL,DHL Logistics Schweiz AG
1131,2041,Paushak,Paushak Limited
47,111,Cerbios-Pharma,Cerbios-Pharma Sa
421,1107,JRS Pharma,JRS Pharma GmbH & Co. KG - Site Pirna
810,1666,CATAPharma Chemicals,CATA Pharma chemicals Pvt Ltd
407,3816,I.F.F. International Flavors & Fragrances,International N&H Manufacturing UK Ltd
1925,3047,Fuji Seal Group,Fuji Seal Germany GmbH
107,221,Lutz Packaging,Lutz Packaging GmbH
2041,3185,Mahendra Chemicals,Mahendra Chemicals Pvt. Ltd
1462,2418,Kosmetik Konzept,Kosmetik Konzept
1988,3094,IGOL,IGOL - Site Picardie ile de France
171,3462,Sasol,Sasol GMBH
1999,3105,INCoMED,INCoMED Shpk
381,998,Euroapi,Euroapi Hungary Kft.
230,1948,Trifarma,Trifarma S.p.A. - Site Ceriano Laghetto
2197,3355,Purity Chemicals,Purity Chemicals SL
1706,2749,Anton Paar Germany,Anton Paar Germany GmbH
272,655,VWR International,VWR International Austria GmbH
1087,1985,Lambda Therapeutic Research,Lambda Therapeutic Research Ltd.
252,490,Aurobindo Pharma Limited,Aurobindo Pharma Limited - Unit 3
982,1857,Apeloa Pharmaceutical,Zhejiang Apeloa Tospo Pharmaceutical Co.
251,482,Aarti Drugs Limited,Aarti Drugs Limited - Plot Nr. G 60
1041,3666,UPS,Vercesi - Bomi Group
202,399,Teva FDF,TEVA Operations Poland Sp. z.o.o
182,361,Solvay,Solvay Melle
572,1405,Wanbury Limited,Wanbury Limited - Site Patalganga
65,3100,Imerys Talc,Imerys Talc - Site Luzenac
514,1304,Sensoplast,Sensoplast Packmitteltechnik GmbH
510,3015,Schulz FlexGroup,Schulz FlexGroup Gmbh - Site Roth
1373,2312,Hengkang Group,"Nugene Pharma (Shandong)., Ltd."
2647,3874,Boc Science,BOC Sciences
197,442,Gerresheimer,Gerresheimer Vaerloese A/S
1556,2531,Zhejiang Shenzhou Pharmaceutical,Zhejiang Shenzhou Pharmaceutical Co. Ltd
10,21,Amcor,Amcor Flexibles Singen GmbH
117,2596,MSN Laboratories,MSN Laboratories Private Limited - Site Telangana
470,2441,Stevanato Group,"Medical Glass, a.s."
963,1835,Avik Pharma,Avik Pharmaceutical Ltd.
1009,1892,Videojet Technologies,Video Jet Technologies INC
1296,2232,Hunan Dongting Pharmaceutical Company,Hunan Dongting Pharmaceutical Company Ltd.
857,2795,Bischof + Klein,Bischof + Klein SE & Co. KG
1982,3088,Israel Chemicals,ICL-IP Terneuzen B.V.
126,282,Nectar Life Sciences,Nectar Life Sciences Limited - Unit 2
948,1818,ASTRA Plastique,ASTRA Plastique SAS
1629,2549,Medistyl-Pharma,Medistyl SPOL
2161,3273,Picking Farma,Picking Farma SAU
478,1222,PharmaLex,PharmaLex Germany
2182,3337,Profarin,"Profarin - Distribuidora de Produtos Farmacêuticos Industriais, Lda."
2002,3108,Innophos,Innophos Inc. - Site Chicago
1660,2687,TopChem Pharmaceuticals,TopChem Pharmaceuticals Limited
343,902,cargo-partner,cargo-partner GmbH - Hamburg
1923,3044,FOL-Obal,FOL-Obal SRO
398,1044,Gedeon Richter,Gedeon Richter Plc - Site Budapest
43,102,Lonza,Lonza-Capsugel Belgium N.V.
1433,2385,Zhejiang Xianju Pharmaceutical,"Zhejiang Xianju Pharmaceutical Co., Ltd."
295,2566,Mitsubishi Chemical Corporation,"MGC Agless Co., Ltd."
1727,2777,Bassani Medical,Bassani Medical (Pty) Ltd
513,1302,Sensient Pharma,Sensient Colors US Llc.
182,360,Solvay,Solvay Chemie B.V.
1894,2974,Ovelle Pharmaceuticals,Ovelle Ltd
1875,2955,Optimapharm,Optimapharm Croatia d.o.o.
429,1124,Laboratoire Cat,"Laboratoire Cat, S.A."
457,1172,MoNo chem-pharm Produkte,MoNo chem-pharm Produkte GmbH - Site Hornstein
1394,2337,Shandong Jinhaiyang Pharmaceutical Development,Shandong Jinhaiyang Pharmaceutical Development Co. Ltd
1049,1939,Upjohn Manufacturing,Upjohn Manufacturing Ireland Unlimited Company
197,446,Gerresheimer,Gerresheimer Lohr GmbH
1399,2343,Shandong Pharmaceutical Glass,"Shandong Pharmaceutical Glass Co., Ltd"
1439,2391,Karitsios Trans,Karitsios Trans SA
66,185,Indena,Indena India Pvt. Ltd
182,366,Solvay,Solvay USA Inc. - Site Baton Rouge
1681,2713,Alphial,Alphial SRL - Site Vicenza
273,656,Vasudha Pharma Chem,Vasudha Pharma Chem Ltd. - Unit 1
507,1289,SaniSure,"SaniSure, Inc. - Site Sparta"
2314,3477,Schwarze & Consort,Schwarze & Consort. Lagerhaus- GmbH
2554,3793,Amberger Kaolinwerke Eduard Kick,Amberger Kaolinwerke Eduard Kick GmbH & Co. KG
390,3159,Thermo Fisher Scientific,Life Technologies Ltd - Site Paisley
1652,2678,TigerMed Group,Tigermed Romania SRL
504,1283,Rhenus,Rhenus Port Logistics - Site Weil am Rhein
1012,1895,Urtica,Urtica Sp. z o.o.
2324,3548,Sovereign Pharma,Sovereign Pharma Pvt. Ltd.
61,153,ICE Pharma,Ice S.p.a.
19,41,Aseptic Technologies,Aseptic Technologies S.A.
2060,3170,MPCA,Medical and Pharmaceutical Consultancy and Applications International BV
616,1457,epinity,"Advanced Biochemical Thailand Co, Ltd."
389,1018,Fiege,Fiege Eastern Europe GmbH
1971,3125,IOLCP,IOL Chemicals & Pharmaceuticals Ltd.
1885,2966,Orifarm Group,Orifarm Manufacturing A/S - Site Hobro
261,610,Charles River,Charles River Italy
2105,3304,Nikita Chemical,Nikita Chemical Industries
1804,2864,Groupe Carso,Carso LSEHL - Site Vénissieux
1318,2253,Jiangsu Lingyun Pharmaceutical,"Jiangsu Lingyun Pharmaceutical Co., Ltd."
123,578,Eurofins,Eurofins BPT Biologics
111,228,DSM Pharmaceuticals,DSM Nutritional Products UK Limited
