name,auditID,qualityType,auditDate,auditEnd,Date,Audit Standard,Address,SAM,Available in MI/SI?,Final QCR,Calculation completed,Date of Calculation,Missing Data,Minor - Observations,Major - Observations,Critical - Observations,Observations rating,Avg Rating Quality Documentation,Avg Rating Quality Monitoring,Avg Rat Facilities and Operations,Compliance Score,capaAdequacy,CAPA baseline,actionPlanSent,Initial NEW,Days,CAPA score,Observations DATA available,Rating DATA available,CAPA DATA available,Award,Certificate generated,Request to increase Score
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,20/09/2024,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,25/09/2024,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,25/09/2024,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,25/09/2024,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,25/09/2024,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,17/10/2024,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
,,,,,,,-,-,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
