HOLDER,SUBJECT
EISAI CO LTD,MENFEGOL
PENICK CORP,DIDRATE (DIHYDROCODEINE BITARTRATE ANHYDROUS )
FINORGA,"6-METHOXY 5, TRIFLUOROMETHYL 1-NAPHTHOLIC ACID"
SEKISUI MEDICAL CO LTD,EPSILON-AMINO-N-CAPROIC ACID
PCAS,DESIPRAMINE HCL
3M PHARMACEUTICALS,"FOR BROOKINGS,S.D."
ORCHIMIE SA,CLONIDINE HYDROCHLORIDE
SIEGFRIED AG,VALPROIC ACID & SODIUM VALPROATE
FINORGA,METHYL SARCOSINATE HCl
DAEWOONG CHEMICAL CO LTD,TRIMETHOPRIM
SOCIETA ITALIANA CORTICOSTEROIDI SPA,BETAMETHASONE
ILKIM AS,ASPIRIN USP
DIOSYNTH BV,BETAMETHASONE ACETATE
3M PHARMACEUTICALS,"FOR CORDOVA,ILLINOIS"
NORTON PERFORMANCE PLASTICS CORP,PTFE SKIVED TAPE
WATSON LABORATORIES INC,"MANUFACTURING SITE, FACILITIES, PERSONNEL, AND GENERAL OPERAING PROCEDURES IN CORONA, CALIFORNIA."
BOEHRINGER INGELHEIM CHEMICALS INC,BROMPHENIRAMINE MALEATE
CHURCH AND DWIGHT CO INC,"FOR THE TAYLORS, SOUTH CAROLINA FACILITY ON NORTH WATSON RD"
FINE CHEMICALS CORP PTY LTD,FLUPHENAZINE DECANOATE
ILKIM AS,ACETAMINOPHEN USP
GATTEFOSSE SAS,SUPPOCIRE
ELI LILLY AND CO,BULK PRODUCTION OF NIZATIDINE
SOCIETA ITALIANA CORTICOSTEROIDI SPA,DEXAMETHASONE
LAEVOSAN GMBH AND CO KG,HYDROXYETHYL STARCH
ALZA CORP,TRANSDERMAL THERAPEUTIC SYSTEM
FUKUZYU PHARMACEUTICAL CO LTD,CHLORPHENIRAMINE MALEATE
ELI LILLY AND CO,BULK PRODUCTION OF NIZATIDINE
BIOCHEMIC GESELLSCHAFT MBH,"CEFTAZIDINE-BENZHYDRYLESTER,DIHYDROCHLORIDE"
ASTRA CLINICAL RESEARCH ASSOC INC,FOSCARNET SODIUM INTRAVENOUS SOLUTION
DM GRAHAM LABORATORIES INC,IBUPROFEN TIMED-RELEASE 600 MG. TALBETS
SHOWA DENKO KK,GYLCINE
SMITHKLINE AND BECKMAN INC,"MANUFACTURING SITE, FACILITIES, PERSONNEL, AND GENERAL OPERATING PROCEDURES IN CIDRA, PUERTO RICO."
ISRAEL CAN CO LTD,PROD.FLEXIBLE PKG.MATERIAL (KFAR SABA PLANT)
CARLSBERG BIOTECHNOLOGY LTD,"MANUFACTURING SITE, FACILITIES, PERSONNEL,AND GENERAL OPERATING PROCEDURES IN COPENHAGEN, DENMARK."
BACHEM FINE CHEMICALS INC,ATRIAL NATRIURETIC PEPTIDE (4-28).HUMAN
PHARMACIA AND UPJOHN AB,"MANUFACTURING SITE, FACILITIES, PERSONNEL, AND GENERAL OPERATING PROCEDURES IN UPPSALA, SWEDEN."
BOEHRINGER INGELHEIM CHEMICALS INC,GLYCOPYRROLATE
SMITHKLINE AND BECKMAN INC,"MANUFACTURING SITE, FACILITIES, PERSONNEL, AND GENERAL OPERATING PROCEDURES IN CIDRA, PUERTO RICO."
GEDEON RICHTER LTD,RGH-4417
GIULIANI SPA,"MANUFACTURING SITE, FACILITIES, PERSONNEL, AND GENERAL OPERATING PROCEDURES IN CERNUSCO SUL NAVIGLIO."
NIPPON KAYAKU CO LTD,SUCRALFATE
CARLSBERG BIOTECHNOLOGY LTD,NAFARELIN ACETATE
BIOCHEMIC GESELLSCHAFT MBH,"MANUFACTURING SITE, FACILITY, PERSONNEL AND GENERAL OPERATING PROCEDURES IN KUNDL, AUSTRIA"
PHARMACIA AND UPJOHN AB,SEPHAROSE GEL FILTRATION MEDIA
FUJISAWA PHARMACEUTICAL CO LTD,"NILVADIPINE (FK 235,FR 34235)"
ASAHI CHEMICAL INDUSTRY CO LTD,EGG PHOSPHATIDYLCHOLINE
CHELSEA LABORATORIES INC,"MANUFACTURING SITE, FACILITIES, PERSONNEL, AND GENERAL OPERATING PROCEDURES IN LAKEVIEW, NEW YORK."
ABBOTT LABORATORIES PHARMACEUTICAL PRODUCTS DIV,HYDROCHLOROTHIAZIDE
INTERPHARM INC,"FOR PLAINVIEW,N.Y."
SHANGHAI NO 6 PHARMACEUTICAL FACTORY,SUCRALFATE
MITSUBISHI YUKA FINE CHEMICALS CO LTD,ZPT SLURRY
COMAR INC,GLASS PACKAGING MATERIALS
PHARMACIA AND UPJOHN AB,"MANUFACTURING SITE, FACILITIES, PERSONNEL, AND GENERAL OPERATING PROCEDURES OF LARGE VOLUME PARENTERALS IN GLASS BOTTLES IN UPPSALS, SWEDEN."
ORTHO DIAGNOSTIC SYSTEMS DIV ORTHO PHARMACEUTICAL LTD,"MANUFACTURING SITE, FACILITIES, PERSONNEL, AND GENERAL OPERATING PROCEDURES IN DON MILLS, ONTARIO."
NIPPON KAYAKU CO LTD,AMINO ACID
BASF PLC,BTS 54 524
HALDANE CONSULTANTS LTD,"MANUFACTURING SITE, FACILITIES, PERSONNEL, AND GENERAL OPERATING PROCEDURES IN POOLE, DORSET (ENGLAND), NUFFIELD ROAD."
PHARMACIA AND UPJOHN SUB PFIZER INC,"EPOPROSTENOL SODIUM (U-53,217A)"
SCIENTIFIC POLYMER PRODUCTS INC,POLY (2-HYDROXYETHYL METHACAYLATE)
GLATT AIR TECHNIQUES INC,"MANUFACTURING SITE, FACILITIES, PERSONNEL, AND GENERAL OPERATING PROCEDURES IN RAMSEY, NEW JERSEY."
ALDRICH CHEMICAL CO INC,4-METHYLPYAZOLE
BIOMED LABORATORIES,"MANUFACTURING SITE, FACILITIES, PERSONNEL, AND GENERAL OPERATING PROCEDURES IN SAN DIMAS, CALIFORNIA."
BOEHRINGER INGELHEIM CHEMICALS INC,METOCLOPRAMIDE
GEDEON RICHTER LTD,DIAZEPAM USP
KONOSHIMA CHEMICAL CO LTD,MAGNESIUM OXIDE
BEECHAM LABORATORIES DIV OF BEECHAM INC,"MANUFACTURING SITE, FACILITIES, PERSONNEL, AND GENERAL OPERAING PROCEDURES IN MAYENNE, FRANCE."
GATTEFOSSE SAS,"TEFOSE 1500, POLYSTATE B, POLYSTATE C, STEARATE 1500, STEARATE 4000, SUPERPOLYSTATE"
NEWPORT PHARMACEUTICALS INTERNATIONAL INC,ISOPRINOSINE SYRUP 5%
WICKHAM RESEARCH LABORATORIES LTD,"WICKHAM, HAMPSHIRE FACILITIES ON WINCHESTER RD."
INTERNATIONAL SPECIALTY PRODUCTS,M-PYROL (N-METHYLPYRROLIDONE)
MEDI NUCLEAR CORP INC,"MANUFACTURING SITE, FACILITIES, PERSONNEL, AND GENERAL OPERATING PROCEDURES IN BALDWIN PARK, CA."
JANSSEN PHARMACEUTICA NV,LEVAMISOLE HCL-R 12564
HANGZHOU MINSHENG PHARMACEUTICAL FACTORY,THEOPHYLLIN
ALTANA LOMBERG CHEMISCHE FABRIK,BUDIPINE-HYDROCHLORIDE
ADARE PHARMACEUTICALS INC,"ACETAMINOPHEN, MICROENCAPSULATED"
BEECHAM LABORATORIES DIV OF BEECHAM INC,"BLOW MOLDING FACILITY IN BRISTOL,TN."
COMPANIA ESPANOLA DE SINTESIS QUIMICA SA,BECLOMETHASONE DIPROPIONATE USP
OTSUKA PHARMACEUTICAL CO LTD,"MANUFACTURING SITE, FACILITIES, PERSONNEL, AND GENERAL OPERATING PROCEDURES IN TOKUSHIMA, JAPAN."
RHONE POULENC RORER PHARMACEUTICALS INC,SPIRAMYCIN BASE
VICKS INC,"MANUFACTURING SITE, FACILITIES, PERSONNEL, AND GENERAL OPERATING PROCEDURES IN CAYEY, PUERTO RICO."
MATRIX RESEARCH LABORATORIES INC,AL-721
MIKART INC,ACETAMINOPHEN & CODEINE PHOSPHATE TABS. 650/60
ELI LILLY AND CO,"CEPHALEXIN HYDROCHLORIDE,BULK"
OTSUKA PHARMACEUTICAL CO LTD,"MANUFACTURING SITE, FACILITIES, PERSONNEL, AND GENERAL OPERATING PROCEDURES IN TOKUSHIMA, JAPAN."
ORGAMOL SA,TRILOSTANE
WEST PHARMACEUTICAL SERVICES INC,PLASTIC INJECTION MOLDED CLOSURES
YOKO BUSSAN CO LTD,O-RING SEAL MATERIALS
SIEGFRIED LTD,ACETYLCHOLINE CHLORIDE
SMITHKLINE AND BECKMAN INC,"MANUFACTURING SITE, FACILITIES, PERSONNEL, AND GENERAL OPERATING PROCEDURES IN CAROLINA, PUERTO RICO."
DVB ASSOC,"MANUFACTURING SITE, FACILITIES, PERSONNEL, AND GENERAL OPERATING PROCEDURES IN BETHLEHEM, PENNSYLVANIA."
ANDARD MOUNT INTERNATIONAL LTD,FLUOROURACIL
VERANOVA LP,"EDROPHONIUM CHLORIDE, BULK"
SMITHKLINE AND BECKMAN INC,"MANUFACTURING SITE, FACILITIES, PERSONNEL, AND GENERAL OPERATING PROCEDURES IN CAROLINA, PUERTO RICO."
CHEMISCHE FABRIK WEYL GMBH,"MANUFACTURING SITE, FACILITIES, PERSONNEL, AND GENERAL OPERATING PROCEURES IN MANNHEIM 31 WEST GERMANY."
MTM CHEMICALS INC,"PROPRANOLOL HYDROCHLORIDE,BULK"
ROUSSELL UCLAF,ESBIOL
SMITHKLINE BEECHAM PHARMACEUTICALS,ALBENDAZOLE
SOCIETA ITALIANA CORTICOSTEROIDI SPA,TRIAMCINOLONE
SUNIL SYNCHEM LD,L-METHYL DOPA
JANSSEN PHARMACEUTICA NV,CARNIDAZOLE
ACE JAPAN CO LTD,SUCRALFATE (SUCROSE SULFATE ALUMINUM SALT)
ABBOTT LABORATORIES PHARMACEUTICAL PRODUCTS DIV,PROPOXYPHENE HCL.& PROPOXYPHENE NAPSYLATE
SMITHKLINE BEECHAM PHARMACEUTICALS,'ZENTEL' 'TILTAB' TABLETS
GELMAN SCIENCES INC,"MANUFACTURING SITE, FACILITIES, PERSONNEL, AND GENERAL OPERATING PROCEDURES."
MITSUBISHI CHEMICAL INDUSTRIES LTD,SUCROSE MONOPALMITATE
CHEMIE LINZ AG,CLEIPROLOL HCL
BOEHRINGER INGELHEIM CHEMICALS INC,DOXAPRAM HYDROCHLORIDE
TUCKAHOE PLASTIC CONTAINERS,"MANUFACTURING SITE, FACILITIES, PERSONNEL, AND GENERAL OPERATING PROCEDURES."
HOUBA INC,BETAPRONE (BETAPROPIOLACTONE)
ABBOTT LABORATORIES PHARMACEUTICAL PRODUCTS DIV,DISULFIRAM
ADARE PHARMACEUTICALS INC,MICROCAPS® POTASSIUM CHLORIDE
OMNICHEM NV,DESERPIDINE AS PRODUCED IN LOUVAIN-LA-NEUVE PILOT PLANT
VEGA BIOTECHNOLOGIES INC,"MANUFACTURING SITE, FACILITIES, PERSONNEL, AND GENERAL OPERATING PROCEDURES IN TUCSON, ARIZONA."
GANES CHEMICALS INC PENNSVILLE DIV,THIORIDAZINE HYDROCHLORIDE
BEN VENUE LABORATORIES INC,"METHOTREXATE SODIUM FOR INJECTION, LYOPHILIZED"
AMERSHAM INTERNATIONAL PLC AMERSHAM LABORATORY,CERETEC TC HMPAO
NIPPON KAYAKU CO LTD,L-~-METHYLDOPA
ELAN CORP PLC,QUINIDINE SULFATE SUSTAINED ACTION PELLETS
CHEMISCHE FABRIK WEYL GMBH,1-(METHYLAMINOMETHYL)- NAPHTHALENE
HELOPHARM KG ARZNEIMITTELFABRIK,"MANUFACTURING SITE, FACILITIES, PERSONNEL, AND GENERAL OPERATING PROCEDURES."
YUNG ZIP CHEMICAL INDUSTRY COMPANY LTD,CLONIDINE HYDROCHLORIDE
LA DREYFUS CO,CHEWING GUM BASES (PD SERIES)
CENTOR INC,"VIALS, BOTTLES, CLOSURES, OVALS AND SPECIALTY ITEMS FOR THE RX INDUSTRIES"
IPEC INTERNATIONAL PACKAGING & EQUIPMENT CORP,"MANUFACTURING SITE, FACILITIES, PERSONNEL, AND GENERAL OPERATING PROCEDURS"
LEE LABS INC,LENPERONE
BORDEN PACKAGING AND INDUSTRIAL PRODUCTS,"FILM FORMULATIONS,TERMOVIR R FLIM"
GANES CHEMICALS INC PENNSVILLE DIV,TOLRESTAT
SYNTEX LABORATORIES INC SUB SYNTEX CORP,"INVESTIGATIONAL DRUG SUBSTANCE,RS-82917-030"
MALLINCKRODT CHEMICAL INC,PROPOXYPHENE NAPSYLATE
ROUSSELL UCLAF,16 - MEYHYLPERDNISONE 21-PROPIONATE
HOECHST AG,PENICILLIN G SODIUM (BULK)
ELAN CORP PLC,PN-200-LA TABLETS AND PLACEBO TABLETS
FARCHEMIA SRL,METHYLDOPA
FARMABOIS,"MANUFACTURING SITE, FACILITIES, PERSONNEL, AND GENERAL OPERATING PROCEDURES IN GROPELLO CAIROLI, ITALY."
TAKEDA CHEMICAL INDUSTRIES LTD,TAP-144-SR INJECTION (EXTENDED-RELEASE FORM OF LEUPROLIDE ACETATE)
LABORATORIO CHIMICO INTERNAZIONALE SPA,SALBUTAMOL BASE AND SALBUTAMOL SULFATE (ALBUTEROL BASE ETC.)
LONZA INC,TOLRESTAT AND ITS INTERMEDIATES
ELAN CORP PLC,PARACETAMOL (ACETOMINOPHEN) ORAL LA SUSPENSION
ELI LILLY AND CO,QUALITY CONTROL PROCEDURES FOR IN-COMING INSPECTION OF PACKAGING COMPONENTS USED IN PUERTO RICO
S-P PRODUCTS INC,"MANUFACTURING SITE, FACILITIES, PERSONNEL, AND GENERAL OPERATING PROCEDURES S-P PRODUCTS, INC."
SIGMA ALDRICH MANUFACTURING LLC,TRIPALMITIN
ADVANCED ELASTOMER SYSTEMS,SANTOPRENE THERMOPLASTIC ELASTOMER GRADE 271-64-W144
DSM ANDENO GMBH,SILVER SULFADIAZINE
WESTLAKE CHEMICALS AND VINYLS LLC,POLYVINYL CHLORIDE PRODUCTS
BOEHRINGER INGELHEIM PHARMA GMBH AND CO KG,SCOPOLAMINE HYDROBROMIDE
SIGMA F AND D DIV LTD,NALOXONE HCL.AS RELABELLED FOR SIGMA
ALDRICH CHEMICAL CO INC,TERT-BUTYL METHYL ETHER
MALLINCKRODT CHEMICAL INC,PROPOXYPHENE HYDROCHLORIDE
WYETH-AYERST LABORATORIES,"MANUFACTURING SITE, FACILITIES, PERSONNEL, AND GENERAL OPERATING PROCEDURES IN ENGLAND."
MAY AND BAKER LTD,PROMAZINE HYDROCHLORIDE
FREEDOM CHEMICAL DIAMALT GMBH,URSODEOXYCHOLIC ACID
CAMBREX PROFARMACO MILANO SRL,CHLORDIAZEPOXIDE
SIGMA F AND D DIV LTD,POLYETHYLENE GLYCOL
EVANS MEDICAL LTD,DIAMOPHINE HYDROCHLORIDE
WYETH-AYERST LABORATORIES,TEMAZEPAM
ETHYL CORP,TOLRESTAT
BIOCON BIOCHEMICALS LTD,SODIUM HEPARIN
ABBOTT LABORATORIES PHARMACEUTICAL PRODUCTS DIV,GONADORELIN DIACETATE TETRAHYDRATE (GnRH)
BAYER AG,"EDRUL TABS (20,30 & 240MG)"
FUJI CHEMICAL INDUSTRY CO LTD,"KB-2413,1-(2-ETHOXYETHYL)-2-(4-METHYL-I-HOMOPIPERAZINYL)BENZIMIDAZOLE"
MATERIALS PROCESSING TECHNOLOGY INC,"ACETAMINOPHEN,73% GRANULATION"
ORGAMOL SA,MINAPRINE
PMC ISOCHEM,ACETOHYDROXAMIC ACID
DELMAR CHEMICALS INC,"N-[,3-5-DI(PYROLIDNYLMETHYL)-4-HYDROXY]BENZOYL ANILINE(A.CC.-9358)"
BAYER AG,MUZOLIMINE SEMIHYDRATE
ORION CORP LTD,RITODRINE HCL
BAYER AG,GESTODENE
LEIRAS PHARMACEUTICALS,LEVONORGESTREL INTRAUTERINE DEVICE
PALMER RESEARCH,"MANUFACTURING SITE, FACILITIES, PERSONNEL, AND GENERAL OPERATING PROCEDURES IN HOLYWELL, WALES, UNITED KINGDOM."
HOOVER UNIVERSAL INC,POLYETHYLENE TEREPHTHALATE (PET) BOTTLES
ROUSSELL UCLAF,TRIPROLIDINE HCL.
ISOCHEM SA,1-METHYL AMINO-1-METHYL-THIO-2-NITROETHYLENE AND
3M PHARMACEUTICALS,MANUFACTURE AND ASSEMBLY FACILITIES
MERCK AND CO INC,"MANUFACTURING SITE, FACILITIES, PERSONNEL, AND GENERAL OPERATING PROCEDURES IN HOBBESDON, HERFORDSHIRE, ENGLAND."
CULTOR FOOD SCIENCE INC,CAFFEINE
HEUMANN PCS GMBH,PRAZOSIN HYDROCHLORIDE
ELAN CORP PLC,THEOPHYLLINE PHARMAZOME TM POWDER
SOCIETA ITALIANA CORTICOSTEROIDI SPA,HYDROCORTISONE HEMISUCCINATE
PARKE DAVIS DIV WARNER LAMBERT CO,N-ACETYLPROCAINAMIDE HCL.
FIS FABBRICA ITALIANA SINTETICI SPA,SULINDAC
ABBOTT LABORATORIES PHARMACEUTICAL PRODUCTS DIV,ETHRANE (ENFLURANE)
ORION CORP LTD,BENZTROPINE MESYLATE
ELAN CORP PLC,IBUPROFEN CAPSULES
DINAMITE DIPHARMA SPA,D-OXYPHENE
ZAMBON SPA,THIAMPHENICOL
GANES CHEMICALS INC PENNSVILLE DIV,EPHEDRINE HYDROCHLORIDE
SIGMA F AND D DIV LTD,DELTA-AMINOLEVULINIC ACID HCL
PACKAGING COORDINATORS INC,"PCI CARIBE,INC.FACILITY,GURABO,PUERTO RICO"
CP PHIBROCHEM DIV PHILIPP BROTHERS CHEMICALS INC,GUAIFENSEIN USP
TEVA PHARMACEUTICAL INDUSTRIES LTD,NIFEDIPINE
KOTHARI PHYTOCHEMICALS INTERNATIONAL,CHLORPROPAMIDE AND TOLBUTAMIDE
SAN FU CHEMICAL CO LTD,MANNITOL
ABBOTT LABORATORIES PHARMACEUTICAL PRODUCTS DIV,HALOPERIDOL
SIGMA F AND D DIV LTD,"DEOXYCHOLIC ACID,SODIUM SALT"
BEMIS CO INC,"PRODUCTION OF DRUG PACKAGING MATERIALS IN MURPHUSBORO, IL"
BERKELEY ANTIBODY CO,IMMUNOLOGICAL SERVICES AS RELATED TO VITRO QUALITY ASSURANCE
GEDEON RICHTER LTD,DISOPYRAMIDE PHOSPHATE CAPSULES
B BRAUN MEDICAL INC,MCGAW TM PLASTIC CONTAINER
BRACCO IND CHIMICA SPA,IOTHALAMIC ACID
MIKART INC,ACETAMINOPHEN AND HYDROCODONE BITARTRATE
CHINOIN PHARMACEUTCIAL AND CHEMICAL WORKS CO LTD,VERAPAMIL HYDROCHLORIDE
BIOCON BIOCHEMICALS LTD,PAPAIN
ELAN CORP PLC,IBUPROFEN 300MG. LA CAPSULES
RP SCHERER LTD,"MANUFACTURING SITE, FACILITIES, PERSONNEL, AND GENERAL OPERATING PROCEDURES."
STERIS LABORATORIES INC,"MANUFACTURING SITE, FACILITIES, PERSONNEL, AND GENERAL OPERATING PROCEDURES IN WEST BETHANY, ARIZONA."
TEVA PHARMACEUTICAL INDUSTRIES LTD,ATENOLOL
"MID-STATE PLASTICS, INC.","INJECTION MOLDED PARTS IN SEAGROVE, NORTH CAROLINA"
ASAHI KASEI FINECHEM CO LTD,CYTARABINE
SIGMA ALDRICH MANUFACTURING LLC,PALMITIC ACID
VERANOVA LP,FENTANYL BASE
REXAM MEDICAL PACKAGING INC,HEAT SEALABLE AND PEELABLE ADHESIVE COATINGS
PALMYRA NONWOVENS CORP,FIBROUS RAYON PHARMACEUTICAL COILS
EASTMAN KODAK CO,MEROCYANINE 540
CHEMWERTH INC,VINCRISTINE SULFATE
BALENCO ENTERPRISES INC,DECYLMETHYL SULFOXIDE USP
FABBRICA ITALIANA SINTETICI SPA,TRIMETHOPRIM AF (ANILINE FREE)
FINE CHEMICALS CORP,MECLOFENAMATE SODIUM
BIOTEK INC,LEVONORGESTREL MICROCAPSULES
PFIZER LABORATORIES DIV PFIZER INC,TINIDAZOLE
ROUSSELL UCLAF,DISOPYRAMIDE PHOSPHATE
DUPONT POLYESTER,CARODEL POLYETHYLENE TEREPHTHALATE (PET) RESINS X5122
BRASKAP INDUSTRIA E COMERCIO LTDA,EMPTY HARD GELATIN CAPSULES
SIEGFRIED USA LLC,METHADONE HYDROCHLORIDE USP
KEY INTERNATIONAL INC,POLYVINYLCHLORIDE/POLYETHYLENE THERMOPLASTIC FILM
QUATRUM,DEXAMETHASONE BASE BP/KUSP AS
ZEELAND CHEMICALS INC,"FACILITIES, PERSONNEL AND GENERAL OPERATING PROCEDURES"
PRODUCERS COTTON OIL CO,"SAFFLOWER OIL AS PROCESSED IN THE FRESNO, CA FACILITY"
HETERENE CHEMICAL CO INC,ETHYLENE OXIDE ADDUCTS OF NONYL PHENOL
UNICHEM LABORATORIES LTD,HYDROCHLOROTHIAZIDE B.P.
PHARM ECO LABORATORIES INC,D-TUBOCURARINE AS
MEDICHEM SA,METOCLOPRAMIDE HYDROCHLORIDE
BACHEM FINE CHEMICALS INC,"CORTICOTROPIN RELEASING FACTORS (CRF), (HUMAN, RAT)"
LIQUIPHARM INC,LIQUID AND TOPICAL PRODUCTS FOR HUMAN USE
SYNTEX LABORATORIES INC SUB SYNTEX CORP,RS-82856-130
ORION CORP LTD,CHLORHEXIDINE DIHYDROCHLORIDE BP 80
ROQUETTE FRERES,POLYSORB 85/70/00 (SORBITOL SORBITAN SOLUTION)
HARTINGTON CHEMICALS DIV STAVELEY CHEMICALS LTD,ACETAMINOPHEN USP
SIEGFRIED AG,NIFEDIPINE
FERMION OY,NADOLOL
ZACROS CORP,PLASTIC FILM
SHIONOGI QUALICAPS INC,EMPTY GELATIN CAPSULES
LYPHOMED INC,STERILE CEFTIZOXIME SODIUM USP
NIPPON FINE CHEMICAL CO LTD,PHOSPHOLIPID DPPC
NIPPON FINE CHEMICAL CO LTD,PHOSPHOLIPID-DSPC
VICTOR INDUSTRIES,"MANUFACTURING SITE, FACILITIES, PERSONNEL, AND GENERAL OPERATING PROCEDURES IN NEWPORT, AK."
HOVIONE SOCIEDADE QUIMICA LDA,"BECLOMETHASONE 17,21-DIPROPIONATE"
HOECHST MARION ROUSSEL SA,"MANUFACTURING SITE, FACILITIES, PERSONNEL, AND GENERAL OPERATING PROCEDURES IN COMPIEGNE."
TRINITY TECHNOLOGIES CORP,"MANUFACTURING SITE, FACILITIES, PERSONNEL, AND GENERAL OPERATING PROCEDURES IN STERLING HEIGHTS."
RETAIL DRUG INSTITUTE,AEROSOLS PRODUCED AT LONG ISLAND UNIVERSITY
PHARMACIA AND UPJOHN CO WHOLLY OWNED SUB PFIZER INC,ESTRAMUSTINE PHOSPHATE SODIUM
RECORDATI INDUSTRIA CHIMICA E FARMACEUTICA SPA,CHEMICAL FACTORY IN CAMPOVERDE DI APRILIA
SIGMA F AND D DIV LTD,L-SERINE - (S 4500 FD
SOCIETA ITALIANA CORTICOSTEROIDI SPA,METHYLPREDNISOLONE
AWARD CORP,PHENYLPROPANOLAMINE HCL USP XXI.
PFANSTIEHL LABORATORIES INC,FLESTOLOL SULFATE
OY STAR AB,RITODRINE HCL
SPECGX LLC,NALTREXONE HCL
RHONE POULENC RORER PHARMACEUTICALS INC,IGEPAL CA-630G (OCTOXYNOL 9)
ATABAY KIMYA SANAYI VE TICARET AS,ACETAMINOPHEN
ATABAY KIMYA SANAYI VE TICARET AS,ASPIRIN 100% (U.S.P.).
PMC PUERTO RICO INC,"MANUFACTURING SITE, FACILITIES, PERSONNEL, AND GENERAL OPERATING PROCEDURES IN PUERTO RICO."
DEERFIELD SPECIALTY PAPER INC,CAP LINER PAPER
ELAN CORP PLC,POTASSIUM CHL SUSPENSION
ZEELAND CHEMICALS INC,OXYBUTYNIN CHLORIDE
ERIE PLASTICS,PACKAGING MATERIALS
CENTURY PLASTICS INC,"MANUFACTURING SITE, FACILITIES, PERSONNEL, AND GENERAL OPERATING PROCEDURES IN EL DORADO, KANSAS."
FARCHEMIA SRL,TINIDAZOLE USP XXI
FARMSON PHARMACEUTICAL GUJARAT PRIVATE LTD,ACETAMINOPHEN
PFANSTIEHL INC,1-BETA-D-ARABINOFURANOSYL CYTOSINE (CYTARABINE)
ERREGIERRE SPA,METOPROLOL TARTRATE USP
SANOFI SYNTHELABO INC,NALBUPHINE HYDROCHLORIDE
ZEELAND CHEMICALS INC,PHENYLPROPANOLAMINE HYDROCHLORIDE
HOECHST MARION ROUSSEL SA,TRIAMCINOLONE USP
ALLIANCE TOOL CORP,INJECTION MOLDED PARTS
SIGMA F AND D DIV LTD,BETA-AMINOPROPIONITRILE MONOFUMARARTE SALT
CHEMISCHE FABRIK WEYL GMBH,ZINK PYRION PLATELETS
SYNTHELABO PHARMACIE,"FACILITY AT MOURENX, FRANCE"
FINORGA SAS,BETAXOLOL HYDROCHLORIDE
HOVIONE SOCIEDADE QUIMICA LDA,DANAZOL
RHONE POULENC RORER INC,PENTAMIDINE ISETHIONATE
CU CHEMIE UETIKON GMBH,METHIMAZOLE
SAPCOL INTERNATIONAL LTD,VINCRISTINE
BACHEM AG,TRIPTORELIN PAMOATE
LYKOS THERAPEUTICS,"MDMA (3,4-METHYLENEDIOXYMETHAMPHETAMINE) IN RATS AND DOGS"
ABBOTT LABORATORIES,ETHRANE (ENFLURANE)
HEINRICH MACK NACHF,m-AMSA
SIGMA F AND D DIV LTD,"TRYPSIN INHIBITOR,-T AND ALPHA-CHYMOTRYPS"
CHEMICAL FABRICS CORP,FLUOROPOLYMER FILMS
SIGMA F AND D DIV LTD,"TRYPSIN TYPE III, BOVINE"
SIGMA F AND D DIV LTD,"APROTININ, BOVINE LUNG"
TIROS PLASTICS CANADA,PLASTIC PACKAGING COMPONENTS
DIOSYNTH BV,CODEINE PHOSPHATE
UNITIKA RAYON LTD,MICROCRYSTALLINE CELLULOSE
FARMOS GROUP LTD MEDIPOLAR,NIFEDIPINE
PHARM ECO LABORATORIES INC,VINCRISTINE SULPHATE
HEXAGON LABORATORIES INC,CHLORPHENIRAMINE MALEATE USP
NORTH AMERICAN SCIENCE ASSOC,"FACILITIES, PERSONNEL AND OPERATING PROCEDURES AT IRVINE, CA."
DAIWA PHARMACEUTICAL CO LTD,CLONIDINE HYDROCHLORIDE
CP PHARMACEUTICALS LTD,"FACILITY AT WREXHAM, WALES"
FINE CHEMICALS CORP PTY LTD,THIOTHIXENE
PLANTEX LTD CHEMICAL AND PHARMACEUTICAL WORKS,DISOPYRAMIDE PHOSPHATE USP
ALMEDICA SERVICES CORP,"MANUFACTURING SITE, FACILITIES, PERSONNEL, AND GENERAL OPERATING PROCEDURES IN WALDRICK, NEW JERSEY."
KV PHARMACEUTICAL CO,DISOPYRAMIDE S.R. CAPSULES 150 MG.
ELAN CORP PLC,PINDOLOL
CILAG CHEMIE AG,THYMOPENTIN ACETATE HYDRATE
NYCOMED AUSTRIA GMBH,MIDODRINE HYDROCHLORIDE
INTERMEDI CHIMICI SINTETICI SPA ZONA INDUSTRIALE,"FACILITIES, PERSONNEL AND OPERATING PROCEDURES"
MEDICHEM SA,DIPYRIDAMOLE
NORAMCO INC,OXYCODONE HYDROCHLORIDE
EI DUPONT DE NEMOURS AND CO INC,ND-G-3681
VELSICOL CHEMICAL CORP,HEXACHLOROPHENE-GRADE G
INTERMEDI CHIMICI SINTETICI SPA ZONA INDUSTRIALE,NIFEDIPINE
INTERMEDI CHIMICI SINTETICI SPA ZONA INDUSTRIALE,THIORIDAZINE HYDROCHLORIDE USP
INTERMEDI CHIMICI SINTETICI SPA ZONA INDUSTRIALE,FUROSEMIDE USP
ERREGIERRE SPA,CLOTRIMAZOLE USP-EP
ERREGIERRE SPA,ATENOLOL
CENTURY PLASTICS INC,PIPETTE INJECTION MOLDED FOR DORSEY LABS
ELAN CORP PLC,THEOPHYLLINE CONTROLLED RELEASE BEADS
